Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_HSL,37489590.175,2399257.947,37489603.364,2399267.294,37489596.7695,2399262.6205,1.0
Insert,ArrowPS_HSL,37489597.321,2399263.01136,37489597.321,2399263.01136,37489596.5635,2399262.47454,1.0
Line,PS_HSL,37489605.364,2399261.345,37489603.364,2399267.294,37489604.364,2399264.3195,2.0
Insert,ArrowPS_HSL,37489604.1486,2399264.96024,37489604.1486,2399264.96024,37489604.4444,2399264.08022,2.0
Line,PS_HSL,37489602.525,2399269.564,37489603.364,2399267.294,37489602.9445,2399268.429,
Line,PS_HSL,37489613.789,2399273.504,37489627.663,2399283.497,37489620.726,2399278.5005,3.0
Insert,ArrowPS_HSL,37489621.2745,2399278.89558,37489621.2745,2399278.89558,37489620.5212,2399278.35296,3.0
Line,PS_HSL,37489614.772,2399272.325,37489613.789,2399273.504,37489614.2805,2399272.9145,
Line,PS_HSL,37489612.755,2399275.298,37489613.789,2399273.504,37489613.272,2399274.401,
Line,PS_HSL,37489603.364,2399267.294,37489613.789,2399273.504,37489608.5765,2399270.399,4.0
Insert,ArrowPS_HSL,37489609.1573,2399270.74495,37489609.1573,2399270.74495,37489608.3596,2399270.26981,4.0
Line,PS_HSL,37489627.663,2399283.497,37489645.517,2399307.489,37489636.59,2399295.493,5.0
Insert,ArrowPS_HSL,37489636.9936,2399296.0353,37489636.9936,2399296.0353,37489636.4393,2399295.29048,5.0
Line,PS_HSL,37489628.828,2399282.789,37489627.663,2399283.497,37489628.2455,2399283.143,
Line,PS_HSL,37489627.487,2399286.684,37489627.663,2399283.497,37489627.575,2399285.0905,
Line,PS_HSL,37489625.39,2399284.445,37489627.663,2399283.497,37489626.5265,2399283.971,
Line,PS_HSL,37489642.559,2399309.765,37489645.517,2399307.489,37489644.038,2399308.627,
Line,PS_HSL,37489646.606,2399306.525,37489645.517,2399307.489,37489646.0615,2399307.007,
Line,PS_HSL,37489645.517,2399307.489,37489646.661,2399308.942,37489646.089,2399308.2155,
Line,PS_HSL,37489627.27,2399260.972,37489626.736,2399258.897,37489627.003,2399259.9345,
Line,PS_HSL,37489625.907,2399256.909,37489626.736,2399258.897,37489626.3215,2399257.903,
Line,PS_HSL,37489611.379,2399260.167,37489603.364,2399267.294,37489607.3715,2399263.7305,6.0
Insert,ArrowPS_HSL,37489606.8663,2399264.17969,37489606.8663,2399264.17969,37489607.5601,2399263.56276,6.0
Line,PS_HSL,37489626.736,2399258.897,37489649.217,2399251.837,37489637.9765,2399255.367,7.0
Insert,ArrowPS_HSL,37489638.6214,2399255.16446,37489638.6214,2399255.16446,37489637.7357,2399255.44263,7.0
Line,PS_HSL,37489649.698,2399253.671,37489649.217,2399251.837,37489649.4575,2399252.754,
Line,PS_HSL,37489648.245,2399249.945,37489649.217,2399251.837,37489648.731,2399250.891,
Line,PS_HSL,37489649.217,2399251.837,37489679.635,2399240.9,37489664.426,2399246.3685,8.0
Insert,ArrowPS_HSL,37489665.0621,2399246.13978,37489665.0621,2399246.13978,37489664.1885,2399246.45391,8.0
Line,PS_HSL,37489679.821,2399243.161,37489679.635,2399240.9,37489679.728,2399242.0305,
Line,PS_HSL,37489724.057,2399093.278,37489731.428,2399076.391,37489727.7425,2399084.8345,9.0
Insert,ArrowPS_HSL,37489728.0129,2399084.21496,37489728.0129,2399084.21496,37489727.6415,2399085.06586,9.0
Line,PS_HSL,37489720.399,2399092.35,37489724.057,2399093.278,37489722.228,2399092.814,
Line,PS_HSL,37489719.29,2399091.061,37489720.399,2399092.35,37489719.8445,2399091.7055,
Line,PS_HSL,37489718.649,2399092.389,37489720.399,2399092.35,37489719.524,2399092.3695,
Line,PS_HSL,37489721.401,2399090.306,37489720.399,2399092.35,37489720.9,2399091.328,
Line,PS_HSL,37489731.428,2399076.391,37489731.457,2399073.841,37489731.4425,2399075.116,
Line,PS_HSL,37493998.479,2396303.571,37494001.205,2396298.22,37493999.842,2396300.8955,10.0
Insert,ArrowPS_HSL,37494000.1488,2396300.29317,37494000.1488,2396300.29317,37493999.7274,2396301.12043,10.0
Line,PS_HSL,37493999.035,2396304.155,37494001.205,2396298.22,37494000.12,2396301.1875,11.0
Insert,ArrowPS_HSL,37494000.3521,2396300.55262,37494000.3521,2396300.55262,37494000.0333,2396301.42459,11.0
Line,PS_HSL,37494030.52,2396313.324,37494001.205,2396298.22,37494015.8625,2396305.772,12.0
Insert,ArrowPS_HSL,37494015.2616,2396305.46239,37494015.2616,2396305.46239,37494016.0869,2396305.88762,12.0
Line,PS_HSL,37494040.733,2396318.218,37494030.52,2396313.324,37494035.6265,2396315.771,13.0
Insert,ArrowPS_HSL,37494035.0169,2396315.47888,37494035.0169,2396315.47888,37494035.8541,2396315.88009,13.0
Line,PS_HSL,37494050.363,2396322.404,37494040.733,2396318.218,37494045.548,2396320.311,14.0
Insert,ArrowPS_HSL,37494044.9281,2396320.04152,37494044.9281,2396320.04152,37494045.7795,2396320.41163,14.0
Line,PS_HSL,37494049.356,2396323.73,37494050.363,2396322.404,37494049.8595,2396323.067,
Line,PS_HSL,37493973.273,2396274.314,37493969.078,2396283.017,37493971.1755,2396278.6655,15.0
Insert,ArrowPS_HSL,37493970.882,2396279.27443,37493970.882,2396279.27443,37493971.2851,2396278.4381,15.0
Line,PS_HSL,37493972.843,2396274.083,37493969.078,2396283.017,37493970.9605,2396278.55,16.0
Insert,ArrowPS_HSL,37493970.698,2396279.17293,37493970.698,2396279.17293,37493971.0585,2396278.31738,16.0
Line,PS_HSL,37493965.638,2396291.235,37493969.078,2396283.017,37493967.358,2396287.126,17.0
Insert,ArrowPS_HSL,37493967.619,2396286.50244,37493967.619,2396286.50244,37493967.2605,2396287.35886,17.0
Line,PS_HSL,37494074.438,2396334.183,37494057.47,2396325.707,37494065.954,2396329.945,18.0
Insert,ArrowPS_HSL,37494065.3493,2396329.64292,37494065.3493,2396329.64292,37494066.1798,2396330.05781,18.0
Line,PS_HSL,37494081.664,2396337.249,37494074.438,2396334.183,37494078.051,2396335.716,19.0
Insert,ArrowPS_HSL,37494077.4287,2396335.45196,37494077.4287,2396335.45196,37494078.2834,2396335.8146,19.0
Line,PS_HSL,37493969.078,2396283.017,37493935.884,2396275.0,37493952.481,2396279.0085,20.0
Insert,ArrowPS_HSL,37493951.8239,2396278.8498,37493951.8239,2396278.8498,37493952.7264,2396279.06776,20.0
Line,PS_HSL,37494001.205,2396298.22,37493969.078,2396283.017,37493985.1415,2396290.6185,21.0
Insert,ArrowPS_HSL,37493984.5305,2396290.32935,37493984.5305,2396290.32935,37493985.3697,2396290.72648,21.0
Line,PS_HSL,37494057.47,2396325.707,37494050.363,2396322.404,37494053.9165,2396324.0555,22.0
Insert,ArrowPS_HSL,37494053.3035,2396323.7706,37494053.3035,2396323.7706,37494054.1454,2396324.16189,22.0
Line,PS_HSL,37494056.36,2396329.681,37494057.47,2396325.707,37494056.915,2396327.694,
Line,PS_HSL,37494055.609,2396328.621,37494057.47,2396325.707,37494056.5395,2396327.164,
Line,PS_HSL,37494064.327,2396309.47,37494057.47,2396325.707,37494060.8985,2396317.5885,23.0
Insert,ArrowPS_HSL,37494060.6355,2396318.21123,37494060.6355,2396318.21123,37494060.9967,2396317.35595,23.0
Line,PS_HSL,37494102.958,2396347.045,37494081.664,2396337.249,37494092.311,2396342.147,24.0
Insert,ArrowPS_HSL,37494091.6969,2396341.86448,37494091.6969,2396341.86448,37494092.5403,2396342.2525,24.0
Line,PS_HSL,37494122.913,2396356.006,37494102.958,2396347.045,37494112.9355,2396351.5255,25.0
Insert,ArrowPS_HSL,37494112.3188,2396351.24858,37494112.3188,2396351.24858,37494113.1658,2396351.62891,25.0
Line,PS_HSL,37494151.322,2396368.795,37494122.913,2396356.006,37494137.1175,2396362.4005,26.0
