Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_WSL,37493453.518,2394677.945,37493453.357,2394682.834,37493453.4375,2394680.3895,
Line,PS_WSL,37493452.485,2394660.042,37493453.518,2394677.945,37493453.0015,2394668.9935,1.0
Insert,ArrowPS_WSL,37493453.0404,2394669.66836,37493453.0404,2394669.66836,37493452.987,2394668.74148,1.0
Line,PS_WSL,37493450.949,2394638.005,37493450.943,2394660.114,37493450.946,2394649.0595,2.0
Insert,ArrowPS_WSL,37493450.9458,2394649.73548,37493450.9458,2394649.73548,37493450.9461,2394648.80706,2.0
Line,PS_WSL,37493450.943,2394660.114,37493452.485,2394660.042,37493451.714,2394660.078,
Line,PS_WSL,37493452.203,2394646.85,37493452.485,2394660.042,37493452.344,2394653.446,3.0
Insert,ArrowPS_WSL,37493452.3584,2394654.12183,37493452.3584,2394654.12183,37493452.3386,2394653.19362,3.0
Line,PS_WSL,37493452.386,2394638.144,37493452.203,2394646.85,37493452.2945,2394642.497,4.0
Insert,ArrowPS_WSL,37493452.2803,2394643.17283,37493452.2803,2394643.17283,37493452.2998,2394642.24462,4.0
Line,PS_WSL,37493449.004,2394636.231,37493450.949,2394638.005,37493449.9765,2394637.118,
Line,PS_WSL,37493447.228,2394637.543,37493450.949,2394638.005,37493449.0885,2394637.774,
Line,PS_WSL,37493451.945,2394618.028,37493452.386,2394638.144,37493452.1655,2394628.086,5.0
Insert,ArrowPS_WSL,37493452.1803,2394628.76182,37493452.1803,2394628.76182,37493452.16,2394627.83362,5.0
Line,PS_WSL,37493450.949,2394638.005,37493452.386,2394638.144,37493451.6675,2394638.0745,
Line,PS_WSL,37493447.933,2394629.578,37493449.004,2394636.231,37493448.4685,2394632.9045,6.0
Insert,ArrowPS_WSL,37493448.5759,2394633.57189,37493448.5759,2394633.57189,37493448.4284,2394632.65527,6.0
Line,PS_WSL,37493451.765,2394616.144,37493451.945,2394618.028,37493451.855,2394617.086,
Line,PS_WSL,37493452.184,2394600.525,37493451.765,2394616.144,37493451.9745,2394608.3345,7.0
Insert,ArrowPS_WSL,37493451.9564,2394609.01024,37493451.9564,2394609.01024,37493451.9813,2394608.08215,7.0
Line,PS_WSL,37493664.939,2394683.254,37493670.699,2394688.036,37493667.819,2394685.645,8.0
Insert,ArrowPS_WSL,37493668.3391,2394686.07679,37493668.3391,2394686.07679,37493667.6248,2394685.48375,8.0
Line,PS_WSL,37493665.969,2394624.385,37493670.068,2394620.115,37493668.0185,2394622.25,9.0
Insert,ArrowPS_WSL,37493668.4866,2394621.76234,37493668.4866,2394621.76234,37493667.8437,2394622.43211,9.0
Line,PS_WSL,37493670.699,2394688.036,37493670.068,2394620.115,37493670.3835,2394654.0755,10.0
Insert,ArrowPS_WSL,37493670.3772,2394653.39955,37493670.3772,2394653.39955,37493670.3858,2394654.32793,10.0
Line,PS_WSL,37493670.068,2394620.115,37493671.845,2394585.558,37493670.9565,2394602.8365,11.0
Insert,ArrowPS_WSL,37493670.9912,2394602.16141,37493670.9912,2394602.16141,37493670.9435,2394603.0886,11.0
Line,PS_WSL,37493670.296,2394585.934,37493671.845,2394585.558,37493671.0705,2394585.746,
Line,PS_WSL,37493667.629,2394582.839,37493671.845,2394585.558,37493669.737,2394584.1985,12.0
Insert,ArrowPS_WSL,37493670.3051,2394584.56487,37493670.3051,2394584.56487,37493669.5249,2394584.06168,12.0
Line,PS_WSL,37493671.845,2394585.558,37493669.45,2394537.808,37493670.6475,2394561.683,13.0
Insert,ArrowPS_WSL,37493670.6136,2394561.00787,37493670.6136,2394561.00787,37493670.6601,2394561.93512,13.0
Line,PS_WSL,37493665.755,2394538.456,37493669.45,2394537.808,37493667.6025,2394538.132,
Line,PS_WSL,37493667.163,2394533.602,37493673.012,2394533.291,37493670.0875,2394533.4465,14.0
Insert,ArrowPS_WSL,37493670.7625,2394533.41061,37493670.7625,2394533.41061,37493669.8354,2394533.4599,14.0
Line,PS_WSL,37493669.45,2394537.808,37493673.108,2394522.455,37493671.279,2394530.1315,15.0
Insert,ArrowPS_WSL,37493671.4357,2394529.47392,37493671.4357,2394529.47392,37493671.2205,2394530.37706,15.0
Line,PS_WSL,37493672.81,2394491.976,37493674.048,2394459.862,37493673.429,2394475.919,16.0
Insert,ArrowPS_WSL,37493673.455,2394475.24352,37493673.455,2394475.24352,37493673.4193,2394476.17125,16.0
Line,PS_WSL,37493674.048,2394459.862,37493674.352,2394408.041,37493674.2,2394433.9515,17.0
Insert,ArrowPS_WSL,37493674.204,2394433.27553,37493674.204,2394433.27553,37493674.1985,2394434.20393,17.0
Line,PS_WSL,37493674.352,2394408.041,37493672.799,2394346.377,37493673.5755,2394377.209,18.0
Insert,ArrowPS_WSL,37493673.5585,2394376.53323,37493673.5585,2394376.53323,37493673.5819,2394377.46136,18.0
Line,PS_WSL,37493672.799,2394346.377,37493672.336,2394302.29,37493672.5675,2394324.3335,19.0
Insert,ArrowPS_WSL,37493672.5604,2394323.65755,37493672.5604,2394323.65755,37493672.5702,2394324.58592,19.0
Line,PS_WSL,37493672.336,2394302.29,37493672.515,2394244.2,37493672.4255,2394273.245,20.0
Insert,ArrowPS_WSL,37493672.4276,2394272.56902,37493672.4276,2394272.56902,37493672.4247,2394273.49744,20.0
Line,PS_WSL,37493673.108,2394522.455,37493672.81,2394491.976,37493672.959,2394507.2155,21.0
Insert,ArrowPS_WSL,37493672.9524,2394506.53955,37493672.9524,2394506.53955,37493672.9615,2394507.46793,21.0
Line,PS_WSL,37493278.592,2394684.326,37493278.558,2394691.348,37493278.575,2394687.837,22.0
Insert,ArrowPS_WSL,37493278.5717,2394688.51298,37493278.5717,2394688.51298,37493278.5762,2394687.58457,22.0
Line,PS_WSL,37493279.155,2394670.525,37493279.23,2394688.145,37493279.1925,2394679.335,23.0
Insert,ArrowPS_WSL,37493279.1954,2394680.01098,37493279.1954,2394680.01098,37493279.1914,2394679.08257,23.0
Line,PS_WSL,37493278.371,2394668.683,37493278.592,2394684.326,37493278.4815,2394676.5045,24.0
Insert,ArrowPS_WSL,37493278.491,2394677.18042,37493278.491,2394677.18042,37493278.4779,2394676.25209,24.0
Line,PS_WSL,37493279.16,2394654.663,37493279.155,2394670.525,37493279.1575,2394662.594,25.0
Insert,ArrowPS_WSL,37493279.1573,2394663.26998,37493279.1573,2394663.26998,37493279.1576,2394662.34156,25.0
Line,PS_WSL,37493288.058,2394677.023,37493279.155,2394670.525,37493283.6065,2394673.774,26.0
Insert,ArrowPS_WSL,37493283.0605,2394673.37548,37493283.0605,2394673.37548,37493283.8104,2394673.92282,26.0
Line,PS_WSL,37493288.012,2394677.584,37493279.155,2394670.525,37493283.5835,2394674.0545,27.0
