Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Line,PS_YSL,37493451.56,2394676.746,37493459.384,2394676.935,37493455.472,2394676.8405,1.0
Insert,ArrowPS_YSL,37493456.1478,2394676.85682,37493456.1478,2394676.85682,37493455.2196,2394676.8344,1.0
Line,PS_YSL,37493459.379,2394626.155,37493459.384,2394676.935,37493459.3815,2394651.545,2.0
Insert,ArrowPS_YSL,37493459.3816,2394652.22098,37493459.3816,2394652.22098,37493459.3815,2394651.29256,2.0
Line,PS_YSL,37493449.225,2394676.959,37493449.042,2394671.214,37493449.1335,2394674.0865,3.0
Insert,ArrowPS_YSL,37493449.112,2394673.41086,37493449.112,2394673.41086,37493449.1415,2394674.33881,3.0
Line,PS_YSL,37493449.042,2394671.214,37493451.134,2394669.925,37493450.088,2394670.5695,
Line,PS_YSL,37493448.861,2394659.113,37493450.942,2394660.107,37493449.9015,2394659.61,
Line,PS_YSL,37493451.134,2394669.925,37493450.942,2394660.107,37493451.038,2394665.016,4.0
Insert,ArrowPS_YSL,37493451.0248,2394664.34015,37493451.0248,2394664.34015,37493451.0429,2394665.26839,4.0
Line,PS_YSL,37493448.886,2394653.683,37493448.861,2394659.113,37493448.8735,2394656.398,5.0
Insert,ArrowPS_YSL,37493448.8704,2394657.07398,37493448.8704,2394657.07398,37493448.8747,2394656.14557,5.0
Line,PS_YSL,37493458.941,2394609.813,37493459.379,2394626.155,37493459.16,2394617.984,6.0
Insert,ArrowPS_YSL,37493459.1781,2394618.65974,37493459.1781,2394618.65974,37493459.1532,2394617.73165,6.0
Line,PS_YSL,37493451.667,2394633.619,37493459.379,2394626.155,37493455.523,2394629.887,7.0
Insert,ArrowPS_YSL,37493456.0087,2394629.41688,37493456.0087,2394629.41688,37493455.3416,2394630.06256,7.0
Line,PS_YSL,37493460.079,2394625.353,37493459.379,2394626.155,37493459.729,2394625.754,
Line,PS_YSL,37493458.416,2394594.482,37493458.941,2394609.813,37493458.6785,2394602.1475,8.0
Insert,ArrowPS_YSL,37493458.7016,2394602.82309,37493458.7016,2394602.82309,37493458.6699,2394601.89521,8.0
Line,PS_YSL,37493458.941,2394609.813,37493465.842,2394609.485,37493462.3915,2394609.649,9.0
Insert,ArrowPS_YSL,37493463.0667,2394609.61691,37493463.0667,2394609.61691,37493462.1393,2394609.66098,9.0
Line,PS_YSL,37493664.762,2394687.75,37493675.894,2394682.978,37493670.328,2394685.364,10.0
Insert,ArrowPS_YSL,37493670.9493,2394685.09766,37493670.9493,2394685.09766,37493670.096,2394685.46346,10.0
Line,PS_YSL,37493678.671,2394658.224,37493678.634,2394688.061,37493678.6525,2394673.1425,11.0
Insert,ArrowPS_YSL,37493678.6517,2394673.81848,37493678.6517,2394673.81848,37493678.6528,2394672.89006,11.0
Line,PS_YSL,37493678.675,2394628.143,37493678.671,2394658.224,37493678.673,2394643.1835,12.0
Insert,ArrowPS_YSL,37493678.6729,2394643.85948,37493678.6729,2394643.85948,37493678.673,2394642.93106,12.0
Line,PS_YSL,37493735.093,2394657.167,37493678.671,2394658.224,37493706.882,2394657.6955,13.0
Insert,ArrowPS_YSL,37493706.2061,2394657.70816,37493706.2061,2394657.70816,37493707.1344,2394657.69077,13.0
Line,PS_YSL,37493678.491,2394598.206,37493678.675,2394628.143,37493678.583,2394613.1745,14.0
Insert,ArrowPS_YSL,37493678.5872,2394613.85047,37493678.5872,2394613.85047,37493678.5814,2394612.92207,14.0
Line,PS_YSL,37493678.14,2394567.914,37493678.491,2394598.206,37493678.3155,2394583.06,15.0
Insert,ArrowPS_YSL,37493678.3233,2394583.73594,37493678.3233,2394583.73594,37493678.3126,2394582.80758,15.0
Line,PS_YSL,37493665.822,2394608.187,37493678.491,2394598.206,37493672.1565,2394603.1965,16.0
Insert,ArrowPS_YSL,37493672.6875,2394602.77817,37493672.6875,2394602.77817,37493671.9582,2394603.35272,16.0
Line,PS_YSL,37493675.388,2394538.007,37493678.14,2394567.914,37493676.764,2394552.9605,17.0
Insert,ArrowPS_YSL,37493676.8259,2394553.63364,37493676.8259,2394553.63364,37493676.7409,2394552.70912,17.0
Line,PS_YSL,37493664.881,2394539.239,37493675.388,2394538.007,37493670.1345,2394538.623,18.0
Insert,ArrowPS_YSL,37493670.8059,2394538.54428,37493670.8059,2394538.54428,37493669.8838,2394538.6524,18.0
Line,PS_YSL,37493674.265,2394532.311,37493675.388,2394538.007,37493674.8265,2394535.159,19.0
Insert,ArrowPS_YSL,37493674.9573,2394535.82222,37493674.9573,2394535.82222,37493674.7777,2394534.91133,19.0
Line,PS_YSL,37493673.917,2394525.032,37493674.265,2394532.311,37493674.091,2394528.6715,20.0
Insert,ArrowPS_YSL,37493674.1233,2394529.34671,37493674.1233,2394529.34671,37493674.0789,2394528.41935,20.0
Line,PS_YSL,37493683.832,2394452.956,37493683.75,2394441.932,37493683.791,2394447.444,21.0
Insert,ArrowPS_YSL,37493683.786,2394446.76804,37493683.786,2394446.76804,37493683.7929,2394447.69643,21.0
Line,PS_YSL,37493683.75,2394441.932,37493683.729,2394430.243,37493683.7395,2394436.0875,22.0
Insert,ArrowPS_YSL,37493683.7383,2394435.41152,37493683.7383,2394435.41152,37493683.74,2394436.33994,22.0
Line,PS_YSL,37493683.729,2394430.243,37493683.842,2394418.813,37493683.7855,2394424.528,23.0
Insert,ArrowPS_YSL,37493683.7922,2394423.85205,37493683.7922,2394423.85205,37493683.783,2394424.78042,23.0
Line,PS_YSL,37493683.842,2394418.813,37493683.778,2394407.413,37493683.81,2394413.113,24.0
Insert,ArrowPS_YSL,37493683.8062,2394412.43703,37493683.8062,2394412.43703,37493683.8114,2394413.36543,24.0
Line,PS_YSL,37493683.778,2394407.413,37493683.811,2394395.976,37493683.7945,2394401.6945,25.0
Insert,ArrowPS_YSL,37493683.7965,2394401.01852,37493683.7965,2394401.01852,37493683.7938,2394401.94694,25.0
Line,PS_YSL,37493683.811,2394395.976,37493683.893,2394384.393,37493683.852,2394390.1845,26.0
Insert,ArrowPS_YSL,37493683.8568,2394389.50853,37493683.8568,2394389.50853,37493683.8502,2394390.43693,26.0
Line,PS_YSL,37493683.893,2394384.393,37493683.824,2394372.751,37493683.8585,2394378.572,27.0
Insert,ArrowPS_YSL,37493683.8545,2394377.89603,37493683.8545,2394377.89603,37493683.86,2394378.82443,27.0
Line,PS_YSL,37493683.824,2394372.751,37493683.812,2394361.32,37493683.818,2394367.0355,28.0
Insert,ArrowPS_YSL,37493683.8173,2394366.35952,37493683.8173,2394366.35952,37493683.8183,2394367.28794,28.0
Line,PS_YSL,37493683.812,2394361.32,37493683.935,2394349.946,37493683.8735,2394355.633,29.0
Insert,ArrowPS_YSL,37493683.8808,2394354.95706,37493683.8808,2394354.95706,37493683.8708,2394355.88542,29.0
Line,PS_YSL,37493683.935,2394349.946,37493683.831,2394338.454,37493683.883,2394344.2,30.0
Insert,ArrowPS_YSL,37493683.8769,2394343.52404,37493683.8769,2394343.52404,37493683.8853,2394344.45243,30.0
Line,PS_YSL,37493683.831,2394338.454,37493683.845,2394326.959,37493683.838,2394332.7065,31.0
Insert,ArrowPS_YSL,37493683.8388,2394332.03052,37493683.8388,2394332.03052,37493683.8377,2394332.95894,31.0
Line,PS_YSL,37493683.845,2394326.959,37493684.036,2394315.61,37493683.9405,2394321.2845,32.0
Insert,ArrowPS_YSL,37493683.9519,2394320.60861,37493683.9519,2394320.60861,37493683.9363,2394321.5369,32.0
Line,PS_YSL,37493684.036,2394315.61,37493683.947,2394304.039,37493683.9915,2394309.8245,33.0
Insert,ArrowPS_YSL,37493683.9863,2394309.14854,37493683.9863,2394309.14854,37493683.9934,2394310.07693,33.0
Line,PS_YSL,37493683.947,2394304.039,37493683.884,2394292.443,37493683.9155,2394298.241,34.0
Insert,ArrowPS_YSL,37493683.9118,2394297.56503,37493683.9118,2394297.56503,37493683.9169,2394298.49343,34.0
Line,PS_YSL,37493683.884,2394292.443,37493683.984,2394280.85,37493683.934,2394286.6465,35.0
Insert,ArrowPS_YSL,37493683.9398,2394285.97054,37493683.9398,2394285.97054,37493683.9318,2394286.89893,35.0
Line,PS_YSL,37493683.984,2394280.85,37493683.874,2394268.635,37493683.929,2394274.7425,36.0
Insert,ArrowPS_YSL,37493683.9229,2394274.06654,37493683.9229,2394274.06654,37493683.9313,2394274.99493,36.0
Line,PS_YSL,37493683.874,2394268.635,37493683.849,2394258.54,37493683.8615,2394263.5875,37.0
Insert,ArrowPS_YSL,37493683.8598,2394262.91152,37493683.8598,2394262.91152,37493683.8621,2394263.83994,37.0
Line,PS_YSL,37493683.849,2394258.54,37493683.919,2394247.091,37493683.884,2394252.8155,38.0
Insert,ArrowPS_YSL,37493683.8881,2394252.13953,37493683.8881,2394252.13953,37493683.8825,2394253.06793,38.0
Line,PS_YSL,37493683.828,2394238.341,37493683.919,2394247.091,37493683.8735,2394242.716,39.0
Insert,ArrowPS_YSL,37493683.8805,2394243.39195,37493683.8805,2394243.39195,37493683.8709,2394242.46358,39.0
Line,PS_YSL,37493710.83,2394246.743,37493683.919,2394247.091,37493697.3745,2394246.917,40.0
Insert,ArrowPS_YSL,37493696.6986,2394246.92574,37493696.6986,2394246.92574,37493697.6269,2394246.91374,40.0
Line,PS_YSL,37493683.919,2394247.091,37493681.152,2394246.999,37493682.5355,2394247.045,
Line,PS_YSL,37493679.582,2394246.93,37493681.152,2394246.999,37493680.367,2394246.9645,
Line,PS_YSL,37493679.688,2394265.744,37493679.582,2394246.93,37493679.635,2394256.337,41.0
Insert,ArrowPS_YSL,37493679.6312,2394255.66103,37493679.6312,2394255.66103,37493679.6364,2394256.58943,41.0
Line,PS_YSL,37493681.332,2394265.849,37493679.688,2394265.744,37493680.51,2394265.7965,
Line,PS_YSL,37493681.43,2394273.659,37493681.332,2394265.849,37493681.381,2394269.754,42.0
Insert,ArrowPS_YSL,37493681.3725,2394269.07807,37493681.3725,2394269.07807,37493681.3842,2394270.00642,42.0
Line,PS_YSL,37493679.701,2394273.697,37493681.43,2394273.659,37493680.5655,2394273.678,
Line,PS_YSL,37493679.702,2394302.293,37493679.701,2394273.697,37493679.7015,2394287.995,43.0
Insert,ArrowPS_YSL,37493679.7015,2394287.31902,37493679.7015,2394287.31902,37493679.7015,2394288.24744,43.0
Line,PS_YSL,37493681.27,2394302.361,37493679.702,2394302.293,37493680.486,2394302.327,
Line,PS_YSL,37493681.259,2394305.232,37493681.27,2394302.361,37493681.2645,2394303.7965,
Line,PS_YSL,37493679.68,2394305.32,37493681.259,2394305.232,37493680.4695,2394305.276,
Line,PS_YSL,37493679.655,2394333.908,37493679.68,2394305.32,37493679.6675,2394319.614,44.0
Insert,ArrowPS_YSL,37493679.6681,2394318.93802,37493679.6681,2394318.93802,37493679.6673,2394319.86644,44.0
Line,PS_YSL,37493681.272,2394333.905,37493679.655,2394333.908,37493680.4635,2394333.9065,
Line,PS_YSL,37493681.332,2394341.24,37493681.272,2394333.905,37493681.302,2394337.5725,45.0
Insert,ArrowPS_YSL,37493681.2965,2394336.89654,37493681.2965,2394336.89654,37493681.3041,2394337.82493,45.0
Line,PS_YSL,37493679.719,2394341.251,37493681.332,2394341.24,37493680.5255,2394341.2455,
Line,PS_YSL,37493679.628,2394369.753,37493679.719,2394341.251,37493679.6735,2394355.502,46.0
Insert,ArrowPS_YSL,37493679.6757,2394354.82602,37493679.6757,2394354.82602,37493679.6727,2394355.75444,46.0
Line,PS_YSL,37493681.304,2394369.793,37493679.628,2394369.753,37493680.466,2394369.773,
Line,PS_YSL,37493681.254,2394372.715,37493681.304,2394369.793,37493681.279,2394371.254,
Line,PS_YSL,37493679.683,2394372.782,37493681.254,2394372.715,37493680.4685,2394372.7485,
Line,PS_YSL,37493679.556,2394399.318,37493679.683,2394372.782,37493679.6195,2394386.05,47.0
Insert,ArrowPS_YSL,37493679.6227,2394385.37402,37493679.6227,2394385.37402,37493679.6183,2394386.30243,47.0
Line,PS_YSL,37493197.253,2394601.824,37493197.291,2394580.531,37493197.272,2394591.1775,48.0
Insert,ArrowPS_YSL,37493197.2732,2394590.50152,37493197.2732,2394590.50152,37493197.2715,2394591.42994,48.0
Line,PS_YSL,37493197.291,2394580.531,37493195.793,2394579.287,37493196.542,2394579.909,
Line,PS_YSL,37493205.278,2394576.342,37493195.184,2394576.979,37493200.231,2394576.6605,49.0
Insert,ArrowPS_YSL,37493199.5564,2394576.70307,37493199.5564,2394576.70307,37493200.4829,2394576.6446,49.0
Line,PS_YSL,37493195.793,2394579.287,37493195.184,2394576.979,37493195.4885,2394578.133,
Line,PS_YSL,37493204.028,2394624.647,37493203.99,2394580.244,37493204.009,2394602.4455,50.0
Insert,ArrowPS_YSL,37493204.0084,2394601.76952,37493204.0084,2394601.76952,37493204.0092,2394602.69794,50.0
Line,PS_YSL,37493203.99,2394580.244,37493205.044,2394578.736,37493204.517,2394579.49,
Line,PS_YSL,37493205.044,2394578.736,37493205.278,2394576.342,37493205.161,2394577.539,
Line,PS_YSL,37493195.184,2394576.979,37493191.217,2394577.272,37493193.2005,2394577.1255,
Line,PS_YSL,37493197.232,2394623.094,37493197.253,2394601.824,37493197.2425,2394612.459,51.0
Insert,ArrowPS_YSL,37493197.2432,2394611.78302,37493197.2432,2394611.78302,37493197.2423,2394612.71144,51.0
Line,PS_YSL,37493197.325,2394656.758,37493197.232,2394623.094,37493197.2785,2394639.926,52.0
Insert,ArrowPS_YSL,37493197.2766,2394639.25002,37493197.2766,2394639.25002,37493197.2792,2394640.17844,52.0
Line,PS_YSL,37493203.945,2394657.859,37493204.028,2394624.647,37493203.9865,2394641.253,53.0
Insert,ArrowPS_YSL,37493203.9882,2394640.57702,37493203.9882,2394640.57702,37493203.9859,2394641.50544,53.0
Line,PS_YSL,37493197.225,2394711.536,37493197.325,2394656.758,37493197.275,2394684.147,54.0
Insert,ArrowPS_YSL,37493197.2762,2394683.47102,37493197.2762,2394683.47102,37493197.2745,2394684.39944,54.0
Line,PS_YSL,37493204.017,2394698.517,37493203.945,2394657.859,37493203.981,2394678.188,55.0
Insert,ArrowPS_YSL,37493203.9798,2394677.51202,37493203.9798,2394677.51202,37493203.9814,2394678.44044,55.0
Line,PS_YSL,37493281.78,2394684.565,37493277.521,2394685.16,37493279.6505,2394684.8625,
Line,PS_YSL,37493287.278,2394684.992,37493277.521,2394685.16,37493282.3995,2394685.076,56.0
Insert,ArrowPS_YSL,37493281.7236,2394685.08764,37493281.7236,2394685.08764,37493282.6519,2394685.07165,56.0
Line,PS_YSL,37493277.464,2394666.397,37493277.521,2394685.16,37493277.4925,2394675.7785,57.0
Insert,ArrowPS_YSL,37493277.4946,2394676.45448,37493277.4946,2394676.45448,37493277.4917,2394675.52606,57.0
Line,PS_YSL,37493277.329,2394647.792,37493277.464,2394666.397,37493277.3965,2394657.0945,58.0
Insert,ArrowPS_YSL,37493277.4014,2394657.77047,37493277.4014,2394657.77047,37493277.3947,2394656.84207,58.0
Line,PS_YSL,37493281.248,2394670.695,37493277.464,2394666.397,37493279.356,2394668.546,59.0
Insert,ArrowPS_YSL,37493278.9093,2394668.03863,37493278.9093,2394668.03863,37493279.5228,2394668.73547,59.0
Line,PS_YSL,37493281.809,2394640.234,37493277.329,2394647.792,37493279.569,2394644.013,60.0
Insert,ArrowPS_YSL,37493279.2243,2394644.5945,37493279.2243,2394644.5945,37493279.6977,2394643.79585,60.0
Line,PS_YSL,37493281.828,2394655.923,37493277.329,2394647.792,37493279.5785,2394651.8575,61.0
Insert,ArrowPS_YSL,37493279.2512,2394651.26602,37493279.2512,2394651.26602,37493279.7007,2394652.07838,61.0
Line,PS_YSL,37493277.247,2394627.263,37493277.329,2394647.792,37493277.288,2394637.5275,62.0
Insert,ArrowPS_YSL,37493277.2907,2394638.20348,37493277.2907,2394638.20348,37493277.287,2394637.27506,62.0
Line,PS_YSL,37493287.992,2394647.666,37493277.329,2394647.792,37493282.6605,2394647.729,63.0
Insert,ArrowPS_YSL,37493281.9846,2394647.73699,37493281.9846,2394647.73699,37493282.9129,2394647.72602,63.0
Line,PS_YSL,37493281.884,2394629.446,37493277.247,2394627.263,37493279.5655,2394628.3545,64.0
Insert,ArrowPS_YSL,37493278.9539,2394628.06657,37493278.9539,2394628.06657,37493279.7939,2394628.46202,64.0
Line,PS_YSL,37493281.917,2394610.809,37493277.247,2394627.263,37493279.582,2394619.036,65.0
Insert,ArrowPS_YSL,37493279.3974,2394619.6863,37493279.3974,2394619.6863,37493279.6509,2394618.79315,65.0
Line,PS_YSL,37493278.366,2394595.401,37493277.247,2394627.263,37493277.8065,2394611.332,66.0
Insert,ArrowPS_YSL,37493277.7828,2394612.00757,37493277.7828,2394612.00757,37493277.8154,2394611.07972,66.0
Line,PS_YSL,37493281.91,2394593.994,37493278.366,2394595.401,37493280.138,2394594.6975,
Line,PS_YSL,37493278.341,2394580.629,37493278.366,2394595.401,37493278.3535,2394588.015,67.0
Insert,ArrowPS_YSL,37493278.3546,2394588.69098,37493278.3546,2394588.69098,37493278.3531,2394587.76256,67.0
Line,PS_YSL,37493284.056,2394565.947,37493278.341,2394580.629,37493281.1985,2394573.288,68.0
Insert,ArrowPS_YSL,37493280.9533,2394573.91794,37493280.9533,2394573.91794,37493281.2901,2394573.05276,68.0
Line,PS_YSL,37493277.626,2394566.093,37493278.341,2394580.629,37493277.9835,2394573.361,69.0
Insert,ArrowPS_YSL,37493278.0167,2394574.03617,37493278.0167,2394574.03617,37493277.9711,2394573.10887,69.0
Line,PS_YSL,37493286.924,2394591.864,37493278.341,2394580.629,37493282.6325,2394586.2465,70.0
Insert,ArrowPS_YSL,37493282.2221,2394585.70933,37493282.2221,2394585.70933,37493282.7857,2394586.4471,70.0
Line,PS_YSL,37493286.618,2394581.386,37493278.341,2394580.629,37493282.4795,2394581.0075,71.0
