Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_HSL,37489590.18,2399257.947,37489603.36,2399267.294,37489596.77,2399262.621,1,HS_165,HS_171,0,0,0,0
Line,PS_HSL,37489605.36,2399261.345,37489603.36,2399267.294,37489604.36,2399264.32,2,HS_166,HS_171,0,0,0,0
Line,PS_HSL,37489602.53,2399269.564,37489603.36,2399267.294,37489602.94,2399268.429,,HS_167,HS_171,0,0,0,0
Line,PS_HSL,37489613.79,2399273.504,37489627.66,2399283.497,37489620.73,2399278.501,3,HS_168,HS_172,0,0,0,0
Line,PS_HSL,37489614.77,2399272.325,37489613.79,2399273.504,37489614.28,2399272.915,,HS_169,HS_168,0,0,0,0
Line,PS_HSL,37489612.76,2399275.298,37489613.79,2399273.504,37489613.27,2399274.401,,HS_170,HS_168,0,0,0,0
Line,PS_HSL,37489603.36,2399267.294,37489613.79,2399273.504,37489608.58,2399270.399,4,HS_171,HS_168,0,0,0,0
Line,PS_HSL,37489627.66,2399283.497,37489645.52,2399307.489,37489636.59,2399295.493,5,HS_172,HS_177,0,0,0,0
Line,PS_HSL,37489628.83,2399282.789,37489627.66,2399283.497,37489628.25,2399283.143,,HS_173,HS_172,0,0,0,0
Line,PS_HSL,37489627.49,2399286.684,37489627.66,2399283.497,37489627.58,2399285.091,,HS_174,HS_172,0,0,0,0
Line,PS_HSL,37489625.39,2399284.445,37489627.66,2399283.497,37489626.53,2399283.971,,HS_175,HS_172,0,0,0,0
Line,PS_HSL,37489642.56,2399309.765,37489645.52,2399307.489,37489644.04,2399308.627,,HS_810,HS_177,0,0,0,0
Line,PS_HSL,37489646.61,2399306.525,37489645.52,2399307.489,37489646.06,2399307.007,,HS_176,HS_177,0,0,0,0
Line,PS_HSL,37489645.52,2399307.489,37489646.66,2399308.942,37489646.09,2399308.216,,HS_177,HS_814,0,0,0,0
Line,PS_HSL,37489627.27,2399260.972,37489626.74,2399258.897,37489627,2399259.935,,HS_178,HS_180,0,0,0,0
Line,PS_HSL,37489625.91,2399256.909,37489626.74,2399258.897,37489626.32,2399257.903,,HS_179,HS_180,0,0,0,0
Line,PS_HSL,37489611.38,2399260.167,37489603.36,2399267.294,37489607.37,2399263.731,6,HS_811,HS_171,0,0,0,0
Line,PS_HSL,37489626.74,2399258.897,37489649.22,2399251.837,37489637.98,2399255.367,7,HS_180,HS_281,0,0,0,0
Line,PS_HSL,37489649.7,2399253.671,37489649.22,2399251.837,37489649.46,2399252.754,,HS_279,HS_281,0,0,0,0
Line,PS_HSL,37489648.25,2399249.945,37489649.22,2399251.837,37489648.73,2399250.891,,HS_280,HS_281,0,0,0,0
Line,PS_HSL,37489649.22,2399251.837,37489679.64,2399240.9,37489664.43,2399246.369,8,HS_281,HS_283,0,0,0,0
Line,PS_HSL,37489679.82,2399243.161,37489679.64,2399240.9,37489679.73,2399242.031,,HS_282,HS_283,0,0,0,0
Line,PS_HSL,37489724.06,2399093.278,37489731.43,2399076.391,37489727.74,2399084.835,9,HS_49,HS_51,0,0,0,0
Line,PS_HSL,37489720.4,2399092.35,37489724.06,2399093.278,37489722.23,2399092.814,,HS_50,HS_49,0,0,0,0
Line,PS_HSL,37489719.29,2399091.061,37489720.4,2399092.35,37489719.84,2399091.706,,HS_772,HS_50,7.45E-09,0,0,0
Line,PS_HSL,37489718.65,2399092.389,37489720.4,2399092.35,37489719.52,2399092.37,,HS_773,HS_50,7.45E-09,0,0,0
Line,PS_HSL,37489721.4,2399090.306,37489720.4,2399092.35,37489720.9,2399091.328,,HS_774,HS_50,0,0,0,0
Line,PS_HSL,37489731.43,2399076.391,37489731.46,2399073.841,37489731.44,2399075.116,,HS_51,HS_52,0,0,0,0
Line,PS_HSL,37493998.48,2396303.571,37494001.21,2396298.22,37493999.84,2396300.896,10,HS_742,HS_15,0,0,0,0
Line,PS_HSL,37493999.04,2396304.155,37494001.21,2396298.22,37494000.12,2396301.188,11,HS_743,HS_15,0,0,0,0
Line,PS_HSL,37494030.52,2396313.324,37494001.21,2396298.22,37494015.86,2396305.772,12,HS_16,HS_15,0,0,0,0
Line,PS_HSL,37494040.73,2396318.218,37494030.52,2396313.324,37494035.63,2396315.771,13,HS_17,HS_16,0,0,0,0
Line,PS_HSL,37494050.36,2396322.404,37494040.73,2396318.218,37494045.55,2396320.311,14,HS_18,HS_17,0,0,0,0
Line,PS_HSL,37494049.36,2396323.73,37494050.36,2396322.404,37494049.86,2396323.067,,HS_19,HS_18,0,0,0,0
Line,PS_HSL,37493973.27,2396274.314,37493969.08,2396283.017,37493971.18,2396278.666,15,HS_739,HS_13,0,0,0,0
Line,PS_HSL,37493972.84,2396274.083,37493969.08,2396283.017,37493970.96,2396278.55,16,HS_740,HS_13,7.45E-09,0,0,0
Line,PS_HSL,37493965.64,2396291.235,37493969.08,2396283.017,37493967.36,2396287.126,17,HS_14,HS_13,0,0,0,0
Line,PS_HSL,37494074.44,2396334.183,37494057.47,2396325.707,37494065.95,2396329.945,18,HS_22,HS_20,0,0,0,0
Line,PS_HSL,37494081.66,2396337.249,37494074.44,2396334.183,37494078.05,2396335.716,19,HS_23,HS_22,0,0,0,0
Line,PS_HSL,37493969.08,2396283.017,37493935.88,2396275,37493952.48,2396279.009,20,HS_13,HS_741,0,0,0,0
