Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_HSL,37489590.18,2399257.947,37489603.36,2399267.294,89596.77,2399262.621,1.0,HS_165,HS_171,0.0,0.0,0,0,0.5,Ì≈  DN400,51418.0,Ì≈,DN,400
Line,PS_HSL,37489605.36,2399261.345,37489603.36,2399267.294,89604.36,2399264.32,2.0,HS_166,HS_171,0.0,0.0,0,0,0.5,Ì≈  DN200,51419.0,Ì≈,DN,200
Line,PS_HSL,37489613.79,2399273.504,37489627.66,2399283.497,89620.73,2399278.501,3.0,HS_168,HS_172,0.0,0.0,0,0,0.5,Ì≈  DN400,51420.0,Ì≈,DN,400
Line,PS_HSL,37489603.36,2399267.294,37489613.79,2399273.504,89608.58,2399270.399,4.0,HS_171,HS_168,0.0,0.0,0,0,0.5,Ì≈  DN400,51421.0,Ì≈,DN,400
Line,PS_HSL,37489627.66,2399283.497,37489645.52,2399307.489,89636.59,2399295.493,5.0,HS_172,HS_177,0.0,0.0,0,0,0.5,Ì≈  DN400,51422.0,Ì≈,DN,400
Line,PS_HSL,37489611.38,2399260.167,37489603.36,2399267.294,89607.37,2399263.731,6.0,HS_811,HS_171,0.0,0.0,0,0,0.5,Ì≈  DN400,51423.0,Ì≈,DN,400
Line,PS_HSL,37489626.74,2399258.897,37489649.22,2399251.837,89637.98,2399255.367,7.0,HS_180,HS_281,0.0,0.0,0,0,0.5,Ì≈  DN300,51424.0,Ì≈,DN,300
Line,PS_HSL,37489649.22,2399251.837,37489679.64,2399240.9,89664.43,2399246.369,8.0,HS_281,HS_283,0.0,0.0,0,0,0.5,Ì≈  DN400,51425.0,Ì≈,DN,400
Line,PS_HSL,37489724.06,2399093.278,37489731.43,2399076.391,89727.74,2399084.835,9.0,HS_49,HS_51,0.0,0.0,0,0,0.5,Ì≈  DN400,51426.0,Ì≈,DN,400
Line,PS_HSL,37493998.48,2396303.571,37494001.21,2396298.22,93999.84,2396300.896,10.0,HS_742,HS_15,0.0,0.0,0,0,0.5,Ì≈  DN200,51427.0,Ì≈,DN,200
Line,PS_HSL,37493999.04,2396304.155,37494001.21,2396298.22,94000.12,2396301.188,11.0,HS_743,HS_15,0.0,0.0,0,0,0.5,PVC  DN200,51428.0,PVC,DN,200
Line,PS_HSL,37494030.52,2396313.324,37494001.21,2396298.22,94015.86,2396305.772,12.0,HS_16,HS_15,0.0,0.0,0,0,0.5,Ì≈  DN500,51429.0,Ì≈,DN,500
Line,PS_HSL,37494040.73,2396318.218,37494030.52,2396313.324,94035.63,2396315.771,13.0,HS_17,HS_16,0.0,0.0,0,0,0.5,Ì≈  DN500,51430.0,Ì≈,DN,500
Line,PS_HSL,37494050.36,2396322.404,37494040.73,2396318.218,94045.55,2396320.311,14.0,HS_18,HS_17,0.0,0.0,0,0,0.5,Ì≈  DN500,51431.0,Ì≈,DN,500
Line,PS_HSL,37493973.27,2396274.314,37493969.08,2396283.017,93971.18,2396278.666,15.0,HS_739,HS_13,0.0,0.0,0,0,0.5,PVC  DN150,51432.0,PVC,DN,150
Line,PS_HSL,37493972.84,2396274.083,37493969.08,2396283.017,93970.96,2396278.55,16.0,HS_740,HS_13,7.45e-09,0.0,0,0,0.5,PVC  DN150,51433.0,PVC,DN,150
