Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51418,"c(37489596.4803926, 2399263.02844232)",37489596.4803926,2399263.02844232
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51419,"c(37489603.8900662, 2399264.16016775)",37489603.8900662,2399264.16016775
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51420,"c(37489620.433776, 2399278.90621558)",37489620.433776,2399278.90621558
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51421,"c(37489608.3206168, 2399270.82856234)",37489608.3206168,2399270.82856234
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51422,"c(37489636.1888793, 2399295.79149988)",37489636.1888793,2399295.79149988
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51423,"c(37489607.0392515, 2399263.3568545)",37489607.0392515,2399263.3568545
Text,PS_HSLtext,2,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,51424,"c(37489638.1263079, 2399255.84402997)",37489638.1263079,2399255.84402997
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51425,"c(37489664.5951751, 2399246.83901012)",37489664.5951751,2399246.83901012
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51426,"c(37489728.2007485, 2399085.03452072)",37489728.2007485,2399085.03452072
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51427,"c(37494000.2875191, 2396301.12246414)",37494000.2875191,2396301.12246414
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51428,"c(37494000.5895957, 2396301.35919715)",37494000.5895957,2396301.35919715
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51429,"c(37494016.0915063, 2396305.32752713)",37494016.0915063,2396305.32752713
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51430,"c(37494035.8425698, 2396315.32009665)",37494035.8425698,2396315.32009665
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51431,"c(37494045.7473247, 2396319.85244832)",37494045.7473247,2396319.85244832
Text,PS_HSLtext,2,0,PVC  DN150,CDShxStyle,PVC  DN150,51432,"c(37493970.7250936, 2396278.44839615)",37493970.7250936,2396278.44839615
Text,PS_HSLtext,2,0,PVC  DN150,CDShxStyle,PVC  DN150,51433,"c(37493970.4997435, 2396278.35582626)",37493970.4997435,2396278.35582626
Text,PS_HSLtext,2,0,PVC  DN200,CDShxStyle,PVC  DN200,51434,"c(37493967.8192224, 2396287.3190646)",37493967.8192224,2396287.3190646
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51435,"c(37494066.1774381, 2396329.49770208)",37494066.1774381,2396329.49770208
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51436,"c(37494078.2462978, 2396335.25571883)",37494078.2462978,2396335.25571883
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51437,"c(37493952.5983847, 2396278.52247445)",37493952.5983847,2396278.52247445
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51438,"c(37493985.3553702, 2396290.16654919)",37493985.3553702,2396290.16654919
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51439,"c(37494054.12723, 2396323.60207649)",37494054.12723,2396323.60207649
Text,PS_HSLtext,2,0,PVC  DN150,CDShxStyle,PVC  DN150,51440,"c(37494060.4378892, 2396317.39398081)",37494060.4378892,2396317.39398081
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51441,"c(37494092.5199662, 2396341.69276093)",37494092.5199662,2396341.69276093
Text,PS_HSLtext,2,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,51442,"c(37494113.1403259, 2396351.069379)",37494113.1403259,2396351.069379
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51443,"c(37494137.3227484, 2396361.94456898)",37494137.3227484,2396361.94456898
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51444,"c(37494154.263492, 2396369.43168037)",37494154.263492,2396369.43168037
