Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_WSL,37493453.52,2394677.945,37493453.36,2394682.834,37493453.44,2394680.39,,WS_60,WS_59,0,0,0,0
Line,PS_WSL,37493452.49,2394660.042,37493453.52,2394677.945,37493453,2394668.994,1,WS_6271,WS_60,0,0,0,0
Line,PS_WSL,37493450.95,2394638.005,37493450.94,2394660.114,37493450.95,2394649.06,2,WS_68,WS_61,0,0,0,0
Line,PS_WSL,37493450.94,2394660.114,37493452.49,2394660.042,37493451.71,2394660.078,,WS_61,WS_6271,0,0,0,0
Line,PS_WSL,37493452.2,2394646.85,37493452.49,2394660.042,37493452.34,2394653.446,3,WS_67,WS_6271,0,0,0,0
Line,PS_WSL,37493452.39,2394638.144,37493452.2,2394646.85,37493452.29,2394642.497,4,WS_69,WS_67,0,0,0,0
Line,PS_WSL,37493449,2394636.231,37493450.95,2394638.005,37493449.98,2394637.118,,WS_53,WS_68,0,0,0,0
Line,PS_WSL,37493447.23,2394637.543,37493450.95,2394638.005,37493449.09,2394637.774,,WS_6269,WS_68,0,0,0,0
Line,PS_WSL,37493451.95,2394618.028,37493452.39,2394638.144,37493452.17,2394628.086,5,WS_54,WS_69,0,0,0,0
Line,PS_WSL,37493450.95,2394638.005,37493452.39,2394638.144,37493451.67,2394638.075,,WS_68,WS_69,0,0,0,0
Line,PS_WSL,37493447.93,2394629.578,37493449,2394636.231,37493448.47,2394632.905,6,WS_6255,WS_53,0,0,0,0
Line,PS_WSL,37493451.77,2394616.144,37493451.95,2394618.028,37493451.86,2394617.086,,WS_9,WS_54,0,0,0,0
Line,PS_WSL,37493452.18,2394600.525,37493451.77,2394616.144,37493451.97,2394608.335,7,WS_6254,WS_9,0,0,0,0
Line,PS_WSL,37493664.94,2394683.254,37493670.7,2394688.036,37493667.82,2394685.645,8,WS_57,WS_56,0,0,0,0
Line,PS_WSL,37493665.97,2394624.385,37493670.07,2394620.115,37493668.02,2394622.25,9,WS_6263,WS_58,0,0,0,0
Line,PS_WSL,37493670.7,2394688.036,37493670.07,2394620.115,37493670.38,2394654.076,10,WS_56,WS_58,0,0,0,0
Line,PS_WSL,37493670.07,2394620.115,37493671.85,2394585.558,37493670.96,2394602.837,11,WS_58,WS_18,0,0,0,0
Line,PS_WSL,37493670.3,2394585.934,37493671.85,2394585.558,37493671.07,2394585.746,,WS_6264,WS_18,7.45E-09,0,0,0
Line,PS_WSL,37493667.63,2394582.839,37493671.85,2394585.558,37493669.74,2394584.199,12,WS_6265,WS_18,0,0,0,0
