Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_WSL,37493452.49,2394660.042,37493453.52,2394677.945,93453.0,2394668.994,1.0,WS_6271,WS_60,0.0,0.0,0,0,0.5,Ì≈  DN400,42657.0,Ì≈,DN,400
Line,PS_WSL,37493450.95,2394638.005,37493450.94,2394660.114,93450.95,2394649.06,2.0,WS_68,WS_61,0.0,0.0,0,0,0.5,PVC  DN200,42658.0,PVC,DN,200
Line,PS_WSL,37493452.2,2394646.85,37493452.49,2394660.042,93452.34,2394653.446,3.0,WS_67,WS_6271,0.0,0.0,0,0,0.5,Ì≈  DN400,42659.0,Ì≈,DN,400
Line,PS_WSL,37493452.39,2394638.144,37493452.2,2394646.85,93452.29,2394642.497,4.0,WS_69,WS_67,0.0,0.0,0,0,0.5,Ì≈  DN400,42660.0,Ì≈,DN,400
Line,PS_WSL,37493451.95,2394618.028,37493452.39,2394638.144,93452.17,2394628.086,5.0,WS_54,WS_69,0.0,0.0,0,0,0.5,Ì≈  DN400,42661.0,Ì≈,DN,400
Line,PS_WSL,37493447.93,2394629.578,37493449.0,2394636.231,93448.47,2394632.905,6.0,WS_6255,WS_53,0.0,0.0,0,0,0.5,PE  DN300,42662.0,PE,DN,300
Line,PS_WSL,37493452.18,2394600.525,37493451.77,2394616.144,93451.97,2394608.335,7.0,WS_6254,WS_9,0.0,0.0,0,0,0.5,Ì≈  DN400,42663.0,Ì≈,DN,400
Line,PS_WSL,37493664.94,2394683.254,37493670.7,2394688.036,93667.82,2394685.645,8.0,WS_57,WS_56,0.0,0.0,0,0,0.5,PE  DN300,42664.0,PE,DN,300
Line,PS_WSL,37493665.97,2394624.385,37493670.07,2394620.115,93668.02,2394622.25,9.0,WS_6263,WS_58,0.0,0.0,0,0,0.5,PE  DN300,42665.0,PE,DN,300
Line,PS_WSL,37493670.7,2394688.036,37493670.07,2394620.115,93670.38,2394654.076,10.0,WS_56,WS_58,0.0,0.0,0,0,0.5,Ì≈  DN800,42666.0,Ì≈,DN,800
Line,PS_WSL,37493670.07,2394620.115,37493671.85,2394585.558,93670.96,2394602.837,11.0,WS_58,WS_18,0.0,0.0,0,0,0.5,Ì≈  DN800,42667.0,Ì≈,DN,800
Line,PS_WSL,37493667.63,2394582.839,37493671.85,2394585.558,93669.74,2394584.199,12.0,WS_6265,WS_18,0.0,0.0,0,0,0.5,PVC  DN100,42668.0,PVC,DN,100
Line,PS_WSL,37493671.85,2394585.558,37493669.45,2394537.808,93670.65,2394561.683,13.0,WS_18,WS_127,0.0,0.0,0,0,0.5,Ì≈  DN800,42669.0,Ì≈,DN,800
Line,PS_WSL,37493667.16,2394533.602,37493673.01,2394533.291,93670.09,2394533.447,14.0,WS_6293,YS_34,0.0,0.0,0,0,0.5,Ì≈  DN300,42670.0,Ì≈,DN,300
Line,PS_WSL,37493669.45,2394537.808,37493673.11,2394522.455,93671.28,2394530.132,15.0,WS_127,WS_36,0.0,0.0,0,0,0.5,Ì≈  DN800,42671.0,Ì≈,DN,800
Line,PS_WSL,37493672.81,2394491.976,37493674.05,2394459.862,93673.43,2394475.919,16.0,WS_6268,WS_46,0.0,0.0,0,0,0.5,Ì≈  DN800,42672.0,Ì≈,DN,800
Line,PS_WSL,37493674.05,2394459.862,37493674.35,2394408.041,93674.2,2394433.952,17.0,WS_46,WS_47,0.0,0.0,0,0,0.5,Ì≈  DN800,42673.0,Ì≈,DN,800
Line,PS_WSL,37493674.35,2394408.041,37493672.8,2394346.377,93673.58,2394377.209,18.0,WS_47,WS_48,0.0,0.0,0,0,0.5,Ì≈  DN800,42674.0,Ì≈,DN,800
Line,PS_WSL,37493672.8,2394346.377,37493672.34,2394302.29,93672.57,2394324.334,19.0,WS_48,WS_49,0.0,0.0,0,0,0.5,Ì≈  DN800,42675.0,Ì≈,DN,800
Line,PS_WSL,37493672.34,2394302.29,37493672.52,2394244.2,93672.43,2394273.245,20.0,WS_49,WS_50,0.0,0.0,0,0,0.5,Ì≈  DN800,42676.0,Ì≈,DN,800
Line,PS_WSL,37493673.11,2394522.455,37493672.81,2394491.976,93672.96,2394507.216,21.0,WS_36,WS_6268,0.0,0.0,0,0,0.5,Ì≈  DN800,42677.0,Ì≈,DN,800
Line,PS_WSL,37493278.59,2394684.326,37493278.56,2394691.348,93278.58,2394687.837,22.0,WS_126,WS_51,0.0,0.0,0,0,0.5,PE  DN500,42678.0,PE,DN,500
Line,PS_WSL,37493279.16,2394670.525,37493279.23,2394688.145,93279.19,2394679.335,23.0,WS_55,WS_52,0.0,0.0,0,0,0.5,PE  DN300,42679.0,PE,DN,300
Line,PS_WSL,37493278.37,2394668.683,37493278.59,2394684.326,93278.48,2394676.505,24.0,WS_10,WS_126,0.0,0.0,0,0,0.5,PE  DN500,42680.0,PE,DN,500
Line,PS_WSL,37493279.16,2394654.663,37493279.16,2394670.525,93279.16,2394662.594,25.0,WS_12,WS_55,0.0,0.0,0,0,0.5,PE  DN300,42681.0,PE,DN,300
Line,PS_WSL,37493288.06,2394677.023,37493279.16,2394670.525,93283.61,2394673.774,26.0,WS_6256,WS_55,0.0,0.0,0,0,0.5,PVC  DN100,42682.0,PVC,DN,100
Line,PS_WSL,37493288.01,2394677.584,37493279.16,2394670.525,93283.58,2394674.055,27.0,WS_6270,WS_55,7.45e-09,0.0,0,0,0.5,PVC  DN100,42683.0,PVC,DN,100
Line,PS_WSL,37493278.46,2394656.119,37493278.37,2394668.683,93278.41,2394662.401,28.0,WS_11,WS_10,0.0,0.0,0,0,0.5,PE  DN500,42684.0,PE,DN,500
Line,PS_WSL,37493278.77,2394643.394,37493278.46,2394656.119,93278.61,2394649.757,29.0,WS_37,WS_11,0.0,0.0,0,0,0.5,PE  DN500,42685.0,PE,DN,500
Line,PS_WSL,37493279.39,2394630.635,37493279.16,2394654.663,93279.27,2394642.649,30.0,WS_38,WS_12,0.0,0.0,0,0,0.5,PE  DN300,42686.0,PE,DN,300
Line,PS_WSL,37493287.5,2394655.463,37493279.16,2394654.663,93283.33,2394655.063,31.0,WS_6257,WS_12,0.0,0.0,0,0,0.5,PVC  DN100,42687.0,PVC,DN,100
Line,PS_WSL,37493278.97,2394627.472,37493278.77,2394643.394,93278.87,2394635.433,32.0,WS_39,WS_37,0.0,0.0,0,0,0.5,PE  DN500,42688.0,PE,DN,500
Line,PS_WSL,37493280.41,2394607.23,37493279.39,2394630.635,93279.9,2394618.933,33.0,WS_40,WS_38,0.0,0.0,0,0,0.5,PE  DN300,42689.0,PE,DN,300
Line,PS_WSL,37493287.57,2394635.655,37493279.39,2394630.635,93283.48,2394633.145,34.0,WS_6266,WS_38,0.0,0.0,0,0,0.5,PVC  DN100,42690.0,PVC,DN,100
Line,PS_WSL,37493279.27,2394601.046,37493278.97,2394627.472,93279.12,2394614.259,35.0,WS_124,WS_39,0.0,0.0,0,0,0.5,PE  DN500,42691.0,PE,DN,500
Line,PS_WSL,37493287.57,2394628.71,37493278.97,2394627.472,93283.27,2394628.091,36.0,WS_6267,WS_39,0.0,0.0,0,0,0.5,PVC  DN100,42692.0,PVC,DN,100
Line,PS_WSL,37493280.17,2394599.87,37493280.41,2394607.23,93280.29,2394603.55,37.0,WS_125,WS_40,0.0,0.0,0,0,0.5,PE  DN300,42693.0,PE,DN,300
Line,PS_WSL,37493279.57,2394585.649,37493279.27,2394601.046,93279.42,2394593.348,38.0,WS_70,WS_124,0.0,0.0,0,0,0.5,PE  DN500,42694.0,PE,DN,500
Line,PS_WSL,37493287.62,2394601.475,37493280.17,2394599.87,93283.89,2394600.673,39.0,WS_6292,WS_125,0.0,0.0,0,0,0.5,PVC  DN100,42695.0,PVC,DN,100
Line,PS_WSL,37493279.99,2394578.915,37493280.17,2394599.87,93280.08,2394589.393,40.0,WS_71,WS_125,0.0,0.0,0,0,0.5,PE  DN300,42696.0,PE,DN,300
Line,PS_WSL,37493278.47,2394567.435,37493279.57,2394585.649,93279.02,2394576.542,41.0,WS_13,WS_70,0.0,0.0,0,0,0.5,PE  DN500,42697.0,PE,DN,500
Line,PS_WSL,37493279.95,2394569.123,37493279.99,2394578.915,93279.97,2394574.019,42.0,WS_72,WS_71,0.0,0.0,0,0,0.5,PE  DN300,42698.0,PE,DN,300
Line,PS_WSL,37493976.61,2394696.41,37493990.05,2394707.118,93983.33,2394701.764,43.0,WS_6294,WS_16,0.0,0.0,0,0,0.5,PVC  DN200,42699.0,PVC,DN,200
Line,PS_WSL,37493986.21,2394667.528,37493990.05,2394707.118,93988.13,2394687.323,44.0,WS_14,WS_16,0.0,0.0,0,0,0.5,PE  DN500,42700.0,PE,DN,500
Line,PS_WSL,37493746.74,2394431.872,37493729.65,2394433.537,93738.2,2394432.705,45.0,WS_33,YS_94,0.0,0.0,0,0,0.5,PE  DN300,42701.0,PE,DN,300
Line,PS_WSL,37493778.58,2394395.238,37493779.48,2394388.567,93779.03,2394391.903,46.0,WS_20,WS_19,0.0,0.0,0,0,0.5,Ì≈  DN400,42702.0,Ì≈,DN,400
Line,PS_WSL,37493779.48,2394388.567,37493809.3,2394388.696,93794.39,2394388.632,47.0,WS_19,WS_21,0.0,0.0,0,0,0.5,Ì≈  DN400,42703.0,Ì≈,DN,400
Line,PS_WSL,37493809.3,2394388.696,37493839.35,2394389.023,93824.33,2394388.86,48.0,WS_21,WS_22,0.0,0.0,0,0,0.5,Ì≈  DN400,42704.0,Ì≈,DN,400
Line,PS_WSL,37493839.35,2394389.023,37493869.48,2394389.401,93854.42,2394389.212,49.0,WS_22,WS_41,0.0,0.0,0,0,0.5,Ì≈  DN400,42705.0,Ì≈,DN,400
Line,PS_WSL,37493869.22,2394396.24,37493869.48,2394389.401,93869.35,2394392.821,50.0,WS_42,WS_41,0.0,0.0,0,0,0.5,Ì≈  DN400,42706.0,Ì≈,DN,400
Line,PS_WSL,37493869.78,2394370.73,37493869.48,2394389.401,93869.63,2394380.066,51.0,WS_23,WS_41,0.0,0.0,0,0,0.5,Ì≈  DN400,42707.0,Ì≈,DN,400
