Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,42657,"c(37493452.5023302, 2394669.02230201)",37493452.5023302,2394669.02230201
Text,PS_WSLText,40,0,PVC  DN200,CDShxStyle,PVC  DN200,42658,"c(37493450.446, 2394649.05936431)",37493450.446,2394649.05936431
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,42659,"c(37493451.8441142, 2394653.45668585)",37493451.8441142,2394653.45668585
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,42660,"c(37493451.7946104, 2394642.48649233)",37493451.7946104,2394642.48649233
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,42661,"c(37493451.6656201, 2394628.09695879)",37493451.6656201,2394628.09695879
Text,PS_WSLText,40,0,PE  DN300,CDShxStyle,PE  DN300,42662,"c(37493447.9748554, 2394632.98396692)",37493447.9748554,2394632.98396692
Text,PS_WSLText,40,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,42663,"c(37493451.4746798, 2394608.32109167)",37493451.4746798,2394608.32109167
Text,PS_WSLText,40,0,PE  DN300,CDShxStyle,PE  DN300,42664,"c(37493667.4996178, 2394686.02970123)",37493667.4996178,2394686.02970123
Text,PS_WSLText,40,0,PE  DN300,CDShxStyle,PE  DN300,42665,"c(37493668.3792021, 2394622.59625712)",37493668.3792021,2394622.59625712
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,42666,"c(37493670.8834784, 2394654.0708551)",37493670.8834784,2394654.0708551
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,42667,"c(37493671.4558402, 2394602.86217722)",37493671.4558402,2394602.86217722
Text,PS_WSLText,40,0,PVC  DN100,CDShxStyle,PVC  DN100,42668,"c(37493669.4660069, 2394584.61869372)",37493669.4660069,2394584.61869372
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,42669,"c(37493671.1468723, 2394561.65795295)",37493671.1468723,2394561.65795295
Text,PS_WSLText,40,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,42670,"c(37493670.1140482, 2394533.94579469)",37493670.1140482,2394533.94579469
Text,PS_WSLText,40,0,Ì≈  DN800,CDShxStyle,Ì≈  DN800,42671,"c(37493671.7653851, 2394530.24738593)",37493671.7653851,2394530.24738593
