Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_YSL,37493451.56,2394676.746,37493459.38,2394676.935,37493455.47,2394676.841,1,YS_2,YS_3,0,0,0,0
Line,PS_YSL,37493459.38,2394626.155,37493459.38,2394676.935,37493459.38,2394651.545,2,YS_129,YS_3,0,0,0,0
Line,PS_YSL,37493449.23,2394676.959,37493449.04,2394671.214,37493449.13,2394674.087,3,YS_5,YS_4,0,0,0,0
Line,PS_YSL,37493449.04,2394671.214,37493451.13,2394669.925,37493450.09,2394670.57,,YS_4,YS_6,0,0,0,0
Line,PS_YSL,37493448.86,2394659.113,37493450.94,2394660.107,37493449.9,2394659.61,,YS_110,YS_109,0,0,0,0
Line,PS_YSL,37493451.13,2394669.925,37493450.94,2394660.107,37493451.04,2394665.016,4,YS_6,YS_109,0,0,0,0
Line,PS_YSL,37493448.89,2394653.683,37493448.86,2394659.113,37493448.87,2394656.398,5,YS_111,YS_110,0,0,0,0
Line,PS_YSL,37493458.94,2394609.813,37493459.38,2394626.155,37493459.16,2394617.984,6,YS_222,YS_129,0,0,0,0
Line,PS_YSL,37493451.67,2394633.619,37493459.38,2394626.155,37493455.52,2394629.887,7,YS_17028,YS_129,7.45E-09,0,0,0
Line,PS_YSL,37493460.08,2394625.353,37493459.38,2394626.155,37493459.73,2394625.754,,YS_141,YS_129,0,0,0,0
Line,PS_YSL,37493458.42,2394594.482,37493458.94,2394609.813,37493458.68,2394602.148,8,YS_17029,YS_222,7.45E-09,0,0,0
Line,PS_YSL,37493458.94,2394609.813,37493465.84,2394609.485,37493462.39,2394609.649,9,YS_222,YS_17030,0,0,0,0
Line,PS_YSL,37493664.76,2394687.75,37493675.89,2394682.978,37493670.33,2394685.364,10,YS_17016,YS_195,7.45E-09,0,0,0
Line,PS_YSL,37493678.67,2394658.224,37493678.63,2394688.061,37493678.65,2394673.143,11,YS_63,YS_196,0,0,0,0
Line,PS_YSL,37493678.68,2394628.143,37493678.67,2394658.224,37493678.67,2394643.184,12,YS_65,YS_63,0,0,0,0
Line,PS_YSL,37493735.09,2394657.167,37493678.67,2394658.224,37493706.88,2394657.696,13,YS_16968,YS_63,7.45E-09,0,0,0
Line,PS_YSL,37493678.49,2394598.206,37493678.68,2394628.143,37493678.58,2394613.175,14,YS_67,YS_65,0,0,0,0
Line,PS_YSL,37493678.14,2394567.914,37493678.49,2394598.206,37493678.32,2394583.06,15,YS_184,YS_67,0,0,0,0
Line,PS_YSL,37493665.82,2394608.187,37493678.49,2394598.206,37493672.16,2394603.197,16,YS_16980,YS_67,0,0,0,0
Line,PS_YSL,37493675.39,2394538.007,37493678.14,2394567.914,37493676.76,2394552.961,17,YS_32,YS_184,0,0,0,0
Line,PS_YSL,37493664.88,2394539.239,37493675.39,2394538.007,37493670.13,2394538.623,18,YS_16956,YS_32,0,0,0,0
Line,PS_YSL,37493674.27,2394532.311,37493675.39,2394538.007,37493674.83,2394535.159,19,YS_33,YS_32,0,0,0,0
Line,PS_YSL,37493673.92,2394525.032,37493674.27,2394532.311,37493674.09,2394528.672,20,YS_16957,YS_33,7.45E-09,0,0,0
Line,PS_YSL,37493683.83,2394452.956,37493683.75,2394441.932,37493683.79,2394447.444,21,YS_36,YS_51,0,0,0,0
Line,PS_YSL,37493683.75,2394441.932,37493683.73,2394430.243,37493683.74,2394436.088,22,YS_51,YS_52,0,0,0,0
Line,PS_YSL,37493683.73,2394430.243,37493683.84,2394418.813,37493683.79,2394424.528,23,YS_52,YS_144,0,0,0,0
Line,PS_YSL,37493683.84,2394418.813,37493683.78,2394407.413,37493683.81,2394413.113,24,YS_144,YS_188,0,0,0,0
Line,PS_YSL,37493683.78,2394407.413,37493683.81,2394395.976,37493683.79,2394401.695,25,YS_188,YS_189,0,0,0,0
Line,PS_YSL,37493683.81,2394395.976,37493683.89,2394384.393,37493683.85,2394390.185,26,YS_189,YS_190,0,0,0,0
Line,PS_YSL,37493683.89,2394384.393,37493683.82,2394372.751,37493683.86,2394378.572,27,YS_190,YS_113,0,0,0,0
Line,PS_YSL,37493683.82,2394372.751,37493683.81,2394361.32,37493683.82,2394367.036,28,YS_113,YS_114,0,0,0,0
Line,PS_YSL,37493683.81,2394361.32,37493683.94,2394349.946,37493683.87,2394355.633,29,YS_114,YS_210,0,0,0,0
Line,PS_YSL,37493683.94,2394349.946,37493683.83,2394338.454,37493683.88,2394344.2,30,YS_210,YS_211,0,0,0,0
Line,PS_YSL,37493683.83,2394338.454,37493683.85,2394326.959,37493683.84,2394332.707,31,YS_211,YS_212,0,0,0,0
Line,PS_YSL,37493683.85,2394326.959,37493684.04,2394315.61,37493683.94,2394321.285,32,YS_212,YS_213,0,0,0,0
Line,PS_YSL,37493684.04,2394315.61,37493683.95,2394304.039,37493683.99,2394309.825,33,YS_213,YS_214,0,0,0,0
Line,PS_YSL,37493683.95,2394304.039,37493683.88,2394292.443,37493683.92,2394298.241,34,YS_214,YS_215,0,0,0,0
Line,PS_YSL,37493683.88,2394292.443,37493683.98,2394280.85,37493683.93,2394286.647,35,YS_215,YS_216,0,0,0,0
Line,PS_YSL,37493683.98,2394280.85,37493683.87,2394268.635,37493683.93,2394274.743,36,YS_216,YS_186,0,0,0,0
Line,PS_YSL,37493683.87,2394268.635,37493683.85,2394258.54,37493683.86,2394263.588,37,YS_186,YS_187,0,0,0,0
Line,PS_YSL,37493683.85,2394258.54,37493683.92,2394247.091,37493683.88,2394252.816,38,YS_187,YS_56,0,0,0,0
Line,PS_YSL,37493683.83,2394238.341,37493683.92,2394247.091,37493683.87,2394242.716,39,YS_58,YS_56,0,0,0,0
Line,PS_YSL,37493710.83,2394246.743,37493683.92,2394247.091,37493697.37,2394246.917,40,YS_44,YS_56,0,0,0,0
Line,PS_YSL,37493683.92,2394247.091,37493681.15,2394246.999,37493682.54,2394247.045,,YS_56,YS_57,0,0,0,0
Line,PS_YSL,37493679.58,2394246.93,37493681.15,2394246.999,37493680.37,2394246.965,,YS_99,YS_57,0,0,0,0
Line,PS_YSL,37493679.69,2394265.744,37493679.58,2394246.93,37493679.64,2394256.337,41,YS_1,YS_99,0,0,0,0
Line,PS_YSL,37493681.33,2394265.849,37493679.69,2394265.744,37493680.51,2394265.797,,YS_16959,YS_1,0,0,0,0
Line,PS_YSL,37493681.43,2394273.659,37493681.33,2394265.849,37493681.38,2394269.754,42,YS_16960,YS_16959,0,0,0,0
Line,PS_YSL,37493679.7,2394273.697,37493681.43,2394273.659,37493680.57,2394273.678,,YS_53,YS_16960,0,0,0,0
Line,PS_YSL,37493679.7,2394302.293,37493679.7,2394273.697,37493679.7,2394287.995,43,YS_223,YS_53,0,0,0,0
Line,PS_YSL,37493681.27,2394302.361,37493679.7,2394302.293,37493680.49,2394302.327,,YS_17031,YS_223,7.45E-09,0,0,0
Line,PS_YSL,37493681.26,2394305.232,37493681.27,2394302.361,37493681.26,2394303.797,,YS_17032,YS_17031,0,7.45E-09,0,0
Line,PS_YSL,37493679.68,2394305.32,37493681.26,2394305.232,37493680.47,2394305.276,,YS_224,YS_17032,0,0,0,0
Line,PS_YSL,37493679.66,2394333.908,37493679.68,2394305.32,37493679.67,2394319.614,44,YS_225,YS_224,0,0,0,0
Line,PS_YSL,37493681.27,2394333.905,37493679.66,2394333.908,37493680.46,2394333.907,,YS_17033,YS_225,0,0,0,0
Line,PS_YSL,37493681.33,2394341.24,37493681.27,2394333.905,37493681.3,2394337.573,45,YS_16978,YS_17033,0,0,0,0
Line,PS_YSL,37493679.72,2394341.251,37493681.33,2394341.24,37493680.53,2394341.246,,YS_107,YS_16978,0,0,0,0
Line,PS_YSL,37493679.63,2394369.753,37493679.72,2394341.251,37493679.67,2394355.502,46,YS_108,YS_107,0,0,0,0
Line,PS_YSL,37493681.3,2394369.793,37493679.63,2394369.753,37493680.47,2394369.773,,YS_16954,YS_108,7.45E-09,0,0,0
Line,PS_YSL,37493681.25,2394372.715,37493681.3,2394369.793,37493681.28,2394371.254,,YS_16955,YS_16954,0,7.45E-09,0,0
Line,PS_YSL,37493679.68,2394372.782,37493681.25,2394372.715,37493680.47,2394372.749,,YS_125,YS_16955,0,0,0,0
Line,PS_YSL,37493679.56,2394399.318,37493679.68,2394372.782,37493679.62,2394386.05,47,YS_126,YS_125,0,0,0,0
Line,PS_YSL,37493197.25,2394601.824,37493197.29,2394580.531,37493197.27,2394591.178,48,YS_16986,YS_16981,7.45E-09,7.45E-09,0,0
Line,PS_YSL,37493197.29,2394580.531,37493195.79,2394579.287,37493196.54,2394579.909,,YS_16981,YS_16982,7.45E-09,0,0,0
Line,PS_YSL,37493205.28,2394576.342,37493195.18,2394576.979,37493200.23,2394576.661,49,YS_128,YS_127,0,0,0,0
Line,PS_YSL,37493195.79,2394579.287,37493195.18,2394576.979,37493195.49,2394578.133,,YS_16982,YS_127,0,0,0,0
Line,PS_YSL,37493204.03,2394624.647,37493203.99,2394580.244,37493204.01,2394602.446,50,YS_16988,YS_16983,0,7.45E-09,0,0
Line,PS_YSL,37493203.99,2394580.244,37493205.04,2394578.736,37493204.52,2394579.49,,YS_16983,YS_16984,7.45E-09,0,0,0
Line,PS_YSL,37493205.04,2394578.736,37493205.28,2394576.342,37493205.16,2394577.539,,YS_16984,YS_128,0,0,0,0
Line,PS_YSL,37493195.18,2394576.979,37493191.22,2394577.272,37493193.2,2394577.126,,YS_127,YS_16985,0,0,0,0
Line,PS_YSL,37493197.23,2394623.094,37493197.25,2394601.824,37493197.24,2394612.459,51,YS_16987,YS_16986,7.45E-09,7.45E-09,0,0
Line,PS_YSL,37493197.33,2394656.758,37493197.23,2394623.094,37493197.28,2394639.926,52,YS_16989,YS_16987,0,7.45E-09,0,0
Line,PS_YSL,37493203.95,2394657.859,37493204.03,2394624.647,37493203.99,2394641.253,53,YS_16990,YS_16988,0,0,0,0
Line,PS_YSL,37493197.23,2394711.536,37493197.33,2394656.758,37493197.28,2394684.147,54,YS_16963,YS_16989,7.45E-09,0,0,0
Line,PS_YSL,37493204.02,2394698.517,37493203.95,2394657.859,37493203.98,2394678.188,55,YS_16991,YS_16990,7.45E-09,0,0,0
Line,PS_YSL,37493281.78,2394684.565,37493277.52,2394685.16,37493279.65,2394684.863,,YS_54,YS_55,0,0,0,0
Line,PS_YSL,37493287.28,2394684.992,37493277.52,2394685.16,37493282.4,2394685.076,56,YS_16958,YS_55,0,0,0,0
Line,PS_YSL,37493277.46,2394666.397,37493277.52,2394685.16,37493277.49,2394675.779,57,YS_37,YS_55,0,0,0,0
Line,PS_YSL,37493277.33,2394647.792,37493277.46,2394666.397,37493277.4,2394657.095,58,YS_39,YS_37,0,0,0,0
Line,PS_YSL,37493281.25,2394670.695,37493277.46,2394666.397,37493279.36,2394668.546,59,YS_38,YS_37,0,0,0,0
Line,PS_YSL,37493281.81,2394640.234,37493277.33,2394647.792,37493279.57,2394644.013,60,YS_84,YS_39,0,0,0,0
Line,PS_YSL,37493281.83,2394655.923,37493277.33,2394647.792,37493279.58,2394651.858,61,YS_170,YS_39,0,0,0,0
Line,PS_YSL,37493277.25,2394627.263,37493277.33,2394647.792,37493277.29,2394637.528,62,YS_85,YS_39,0,0,0,0
