Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE,Shortest_Euclidean_Distance,RefName,ORIG_FID,Texture,DN,Pipe_Diameter
Line,PS_YSL,37493451.56,2394676.746,37493459.38,2394676.935,93455.47,2394676.841,1.0,YS_2,YS_3,0.0,0.0,0,0,0.5,Ì≈  DN200,20913.0,Ì≈,DN,200
Line,PS_YSL,37493459.38,2394626.155,37493459.38,2394676.935,93459.38,2394651.545,2.0,YS_129,YS_3,0.0,0.0,0,0,0.5,Ì≈  DN400,20914.0,Ì≈,DN,400
Line,PS_YSL,37493449.23,2394676.959,37493449.04,2394671.214,93449.13,2394674.087,3.0,YS_5,YS_4,0.0,0.0,0,0,0.5,Ì≈  DN300X200,20915.0,Ì≈,DN,300X200
Line,PS_YSL,37493451.13,2394669.925,37493450.94,2394660.107,93451.04,2394665.016,4.0,YS_6,YS_109,0.0,0.0,0,0,0.5,PVC  DN200,20916.0,PVC,DN,200
Line,PS_YSL,37493448.89,2394653.683,37493448.86,2394659.113,93448.87,2394656.398,5.0,YS_111,YS_110,0.0,0.0,0,0,0.5,Ì≈  DN300X200,20917.0,Ì≈,DN,300X200
Line,PS_YSL,37493458.94,2394609.813,37493459.38,2394626.155,93459.16,2394617.984,6.0,YS_222,YS_129,0.0,0.0,0,0,0.5,Ì≈  DN400,20918.0,Ì≈,DN,400
Line,PS_YSL,37493451.67,2394633.619,37493459.38,2394626.155,93455.52,2394629.887,7.0,YS_17028,YS_129,7.45e-09,0.0,0,0,0.5,Ì≈  DN300,20919.0,Ì≈,DN,300
Line,PS_YSL,37493458.42,2394594.482,37493458.94,2394609.813,93458.68,2394602.148,8.0,YS_17029,YS_222,7.45e-09,0.0,0,0,0.5,Ì≈  DN300,20920.0,Ì≈,DN,300
Line,PS_YSL,37493458.94,2394609.813,37493465.84,2394609.485,93462.39,2394609.649,9.0,YS_222,YS_17030,0.0,0.0,0,0,0.5,Ì≈  DN300,20921.0,Ì≈,DN,300
Line,PS_YSL,37493664.76,2394687.75,37493675.89,2394682.978,93670.33,2394685.364,10.0,YS_17016,YS_195,7.45e-09,0.0,0,0,0.5,PE  DN300,20922.0,PE,DN,300
Line,PS_YSL,37493678.67,2394658.224,37493678.63,2394688.061,93678.65,2394673.143,11.0,YS_63,YS_196,0.0,0.0,0,0,0.5,Ì≈  DN500,20923.0,Ì≈,DN,500
Line,PS_YSL,37493678.68,2394628.143,37493678.67,2394658.224,93678.67,2394643.184,12.0,YS_65,YS_63,0.0,0.0,0,0,0.5,Ì≈  DN500,20924.0,Ì≈,DN,500
Line,PS_YSL,37493735.09,2394657.167,37493678.67,2394658.224,93706.88,2394657.696,13.0,YS_16968,YS_63,7.45e-09,0.0,0,0,0.5,Ì≈  DN400,20925.0,Ì≈,DN,400
Line,PS_YSL,37493678.49,2394598.206,37493678.68,2394628.143,93678.58,2394613.175,14.0,YS_67,YS_65,0.0,0.0,0,0,0.5,Ì≈  DN500,20926.0,Ì≈,DN,500
Line,PS_YSL,37493678.14,2394567.914,37493678.49,2394598.206,93678.32,2394583.06,15.0,YS_184,YS_67,0.0,0.0,0,0,0.5,Ì≈  DN500,20927.0,Ì≈,DN,500
Line,PS_YSL,37493665.82,2394608.187,37493678.49,2394598.206,93672.16,2394603.197,16.0,YS_16980,YS_67,0.0,0.0,0,0,0.5,PVC  DN80,20928.0,PVC,DN,80
Line,PS_YSL,37493675.39,2394538.007,37493678.14,2394567.914,93676.76,2394552.961,17.0,YS_32,YS_184,0.0,0.0,0,0,0.5,Ì≈  DN500,20929.0,Ì≈,DN,500
Line,PS_YSL,37493664.88,2394539.239,37493675.39,2394538.007,93670.13,2394538.623,18.0,YS_16956,YS_32,0.0,0.0,0,0,0.5,Ì≈  DN400,20930.0,Ì≈,DN,400
Line,PS_YSL,37493674.27,2394532.311,37493675.39,2394538.007,93674.83,2394535.159,19.0,YS_33,YS_32,0.0,0.0,0,0,0.5,Ì≈  DN500,20931.0,Ì≈,DN,500
Line,PS_YSL,37493673.92,2394525.032,37493674.27,2394532.311,93674.09,2394528.672,20.0,YS_16957,YS_33,7.45e-09,0.0,0,0,0.5,Ì≈  DN500,20932.0,Ì≈,DN,500
Line,PS_YSL,37493683.83,2394452.956,37493683.75,2394441.932,93683.79,2394447.444,21.0,YS_36,YS_51,0.0,0.0,0,0,0.5,Ì≈  DN400X300,20933.0,Ì≈,DN,400X300
Line,PS_YSL,37493683.75,2394441.932,37493683.73,2394430.243,93683.74,2394436.088,22.0,YS_51,YS_52,0.0,0.0,0,0,0.5,Ì≈  DN400X300,20934.0,Ì≈,DN,400X300
Line,PS_YSL,37493683.73,2394430.243,37493683.84,2394418.813,93683.79,2394424.528,23.0,YS_52,YS_144,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20935.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.84,2394418.813,37493683.78,2394407.413,93683.81,2394413.113,24.0,YS_144,YS_188,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20936.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.78,2394407.413,37493683.81,2394395.976,93683.79,2394401.695,25.0,YS_188,YS_189,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20937.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.81,2394395.976,37493683.89,2394384.393,93683.85,2394390.185,26.0,YS_189,YS_190,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20938.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.89,2394384.393,37493683.82,2394372.751,93683.86,2394378.572,27.0,YS_190,YS_113,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20939.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.82,2394372.751,37493683.81,2394361.32,93683.82,2394367.036,28.0,YS_113,YS_114,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20940.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.81,2394361.32,37493683.94,2394349.946,93683.87,2394355.633,29.0,YS_114,YS_210,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20941.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.94,2394349.946,37493683.83,2394338.454,93683.88,2394344.2,30.0,YS_210,YS_211,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20942.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.83,2394338.454,37493683.85,2394326.959,93683.84,2394332.707,31.0,YS_211,YS_212,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20943.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.85,2394326.959,37493684.04,2394315.61,93683.94,2394321.285,32.0,YS_212,YS_213,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20944.0,Ì≈,DN,400X400
Line,PS_YSL,37493684.04,2394315.61,37493683.95,2394304.039,93683.99,2394309.825,33.0,YS_213,YS_214,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20945.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.95,2394304.039,37493683.88,2394292.443,93683.92,2394298.241,34.0,YS_214,YS_215,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20946.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.88,2394292.443,37493683.98,2394280.85,93683.93,2394286.647,35.0,YS_215,YS_216,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20947.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.98,2394280.85,37493683.87,2394268.635,93683.93,2394274.743,36.0,YS_216,YS_186,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20948.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.87,2394268.635,37493683.85,2394258.54,93683.86,2394263.588,37.0,YS_186,YS_187,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20949.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.85,2394258.54,37493683.92,2394247.091,93683.88,2394252.816,38.0,YS_187,YS_56,0.0,0.0,0,0,0.5,Ì≈  DN400X400,20950.0,Ì≈,DN,400X400
Line,PS_YSL,37493683.83,2394238.341,37493683.92,2394247.091,93683.87,2394242.716,39.0,YS_58,YS_56,0.0,0.0,0,0,0.5,Ì≈  DN400X600,20951.0,Ì≈,DN,400X600
Line,PS_YSL,37493710.83,2394246.743,37493683.92,2394247.091,93697.37,2394246.917,40.0,YS_44,YS_56,0.0,0.0,0,0,0.5,Ì≈  DN500,20952.0,Ì≈,DN,500
Line,PS_YSL,37493679.69,2394265.744,37493679.58,2394246.93,93679.64,2394256.337,41.0,YS_1,YS_99,0.0,0.0,0,0,0.5,PVC  DN250,20953.0,PVC,DN,250
Line,PS_YSL,37493681.43,2394273.659,37493681.33,2394265.849,93681.38,2394269.754,42.0,YS_16960,YS_16959,0.0,0.0,0,0,0.5,PVC  DN200,20954.0,PVC,DN,200
Line,PS_YSL,37493679.7,2394302.293,37493679.7,2394273.697,93679.7,2394287.995,43.0,YS_223,YS_53,0.0,0.0,0,0,0.5,PVC  DN250,20955.0,PVC,DN,250
Line,PS_YSL,37493679.66,2394333.908,37493679.68,2394305.32,93679.67,2394319.614,44.0,YS_225,YS_224,0.0,0.0,0,0,0.5,PVC  DN250,20956.0,PVC,DN,250
Line,PS_YSL,37493681.33,2394341.24,37493681.27,2394333.905,93681.3,2394337.573,45.0,YS_16978,YS_17033,0.0,0.0,0,0,0.5,PVC  DN200,20957.0,PVC,DN,200
Line,PS_YSL,37493679.63,2394369.753,37493679.72,2394341.251,93679.67,2394355.502,46.0,YS_108,YS_107,0.0,0.0,0,0,0.5,PVC  DN250,20958.0,PVC,DN,250
Line,PS_YSL,37493679.56,2394399.318,37493679.68,2394372.782,93679.62,2394386.05,47.0,YS_126,YS_125,0.0,0.0,0,0,0.5,PVC  DN250,20959.0,PVC,DN,250
Line,PS_YSL,37493197.25,2394601.824,37493197.29,2394580.531,93197.27,2394591.178,48.0,YS_16986,YS_16981,7.45e-09,7.45e-09,0,0,0.5,Ì≈  DN300X300,20960.0,Ì≈,DN,300X300
Line,PS_YSL,37493205.28,2394576.342,37493195.18,2394576.979,93200.23,2394576.661,49.0,YS_128,YS_127,0.0,0.0,0,0,0.5,Ì≈  DN300X100,20961.0,Ì≈,DN,300X100
Line,PS_YSL,37493204.03,2394624.647,37493203.99,2394580.244,93204.01,2394602.446,50.0,YS_16988,YS_16983,0.0,7.45e-09,0,0,0.5,Ì≈  DN300X300,20962.0,Ì≈,DN,300X300
Line,PS_YSL,37493197.23,2394623.094,37493197.25,2394601.824,93197.24,2394612.459,51.0,YS_16987,YS_16986,7.45e-09,7.45e-09,0,0,0.5,Ì≈  DN300X300,20963.0,Ì≈,DN,300X300
Line,PS_YSL,37493197.33,2394656.758,37493197.23,2394623.094,93197.28,2394639.926,52.0,YS_16989,YS_16987,0.0,7.45e-09,0,0,0.5,Ì≈  DN300X300,20964.0,Ì≈,DN,300X300
Line,PS_YSL,37493203.95,2394657.859,37493204.03,2394624.647,93203.99,2394641.253,53.0,YS_16990,YS_16988,0.0,0.0,0,0,0.5,Ì≈  DN300X300,20965.0,Ì≈,DN,300X300
Line,PS_YSL,37493197.23,2394711.536,37493197.33,2394656.758,93197.28,2394684.147,54.0,YS_16963,YS_16989,7.45e-09,0.0,0,0,0.5,Ì≈  DN300X200,20966.0,Ì≈,DN,300X200
Line,PS_YSL,37493204.02,2394698.517,37493203.95,2394657.859,93203.98,2394678.188,55.0,YS_16991,YS_16990,7.45e-09,0.0,0,0,0.5,Ì≈  DN300X200,20967.0,Ì≈,DN,300X200
Line,PS_YSL,37493287.28,2394684.992,37493277.52,2394685.16,93282.4,2394685.076,56.0,YS_16958,YS_55,0.0,0.0,0,0,0.5,PVC  DN200,20968.0,PVC,DN,200
Line,PS_YSL,37493277.46,2394666.397,37493277.52,2394685.16,93277.49,2394675.779,57.0,YS_37,YS_55,0.0,0.0,0,0,0.5,PE  DN600,20969.0,PE,DN,600
Line,PS_YSL,37493277.33,2394647.792,37493277.46,2394666.397,93277.4,2394657.095,58.0,YS_39,YS_37,0.0,0.0,0,0,0.5,PE  DN600,20970.0,PE,DN,600
Line,PS_YSL,37493281.25,2394670.695,37493277.46,2394666.397,93279.36,2394668.546,59.0,YS_38,YS_37,0.0,0.0,0,0,0.5,PVC  DN100,20971.0,PVC,DN,100
Line,PS_YSL,37493281.81,2394640.234,37493277.33,2394647.792,93279.57,2394644.013,60.0,YS_84,YS_39,0.0,0.0,0,0,0.5,PVC  DN100,20972.0,PVC,DN,100
Line,PS_YSL,37493281.83,2394655.923,37493277.33,2394647.792,93279.58,2394651.858,61.0,YS_170,YS_39,0.0,0.0,0,0,0.5,PVC  DN100,20973.0,PVC,DN,100
Line,PS_YSL,37493277.25,2394627.263,37493277.33,2394647.792,93277.29,2394637.528,62.0,YS_85,YS_39,0.0,0.0,0,0,0.5,PE  DN600,20974.0,PE,DN,600
Line,PS_YSL,37493287.99,2394647.666,37493277.33,2394647.792,93282.66,2394647.729,63.0,YS_17005,YS_39,0.0,0.0,0,0,0.5,PVC  DN150,20975.0,PVC,DN,150
Line,PS_YSL,37493281.88,2394629.446,37493277.25,2394627.263,93279.57,2394628.355,64.0,YS_76,YS_85,0.0,0.0,0,0,0.5,PVC  DN100,20976.0,PVC,DN,100
Line,PS_YSL,37493281.92,2394610.809,37493277.25,2394627.263,93279.58,2394619.036,65.0,YS_121,YS_85,0.0,0.0,0,0,0.5,PVC  DN100,20977.0,PVC,DN,100
Line,PS_YSL,37493278.37,2394595.401,37493277.25,2394627.263,93277.81,2394611.332,66.0,YS_122,YS_85,0.0,0.0,0,0,0.5,PE  DN600,20978.0,PE,DN,600
Line,PS_YSL,37493278.34,2394580.629,37493278.37,2394595.401,93278.35,2394588.015,67.0,YS_124,YS_122,0.0,0.0,0,0,0.5,PE  DN600,20979.0,PE,DN,600
Line,PS_YSL,37493284.06,2394565.947,37493278.34,2394580.629,93281.2,2394573.288,68.0,YS_17022,YS_124,7.45e-09,0.0,0,0,0.5,PVC  DN100,20980.0,PVC,DN,100
Line,PS_YSL,37493277.63,2394566.093,37493278.34,2394580.629,93277.98,2394573.361,69.0,YS_206,YS_124,0.0,0.0,0,0,0.5,PE  DN600,20981.0,PE,DN,600
Line,PS_YSL,37493286.92,2394591.864,37493278.34,2394580.629,93282.63,2394586.247,70.0,YS_17021,YS_124,7.45e-09,0.0,0,0,0.5,PVC  DN100,20982.0,PVC,DN,100
Line,PS_YSL,37493286.62,2394581.386,37493278.34,2394580.629,93282.48,2394581.008,71.0,YS_17020,YS_124,0.0,0.0,0,0,0.5,PVC  DN100,20983.0,PVC,DN,100
