Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,20913,"c(37493455.4599253, 2394677.34035418)",37493455.46,2394677.34
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,20914,"c(37493458.8815, 2394651.54504923)",37493458.88,2394651.545
Text,PS_YSLText,120,0,Ì≈  DN300X200,CDShxStyle,Ì≈  DN300X200,20915,"c(37493449.6332465, 2394674.07058118)",37493449.63,2394674.071
Text,PS_YSLText,120,0,PVC  DN200,CDShxStyle,PVC  DN200,20916,"c(37493451.5379044, 2394665.00622391)",37493451.54,2394665.006
Text,PS_YSLText,120,0,Ì≈  DN300X200,CDShxStyle,Ì≈  DN300X200,20917,"c(37493448.3735053, 2394656.395698)",37493448.37,2394656.396
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,20918,"c(37493458.6601795, 2394617.99739624)",37493458.66,2394617.997
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,20919,"c(37493455.8707293, 2394630.24628305)",37493455.87,2394630.246
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,20920,"c(37493458.1787929, 2394602.16461214)",37493458.18,2394602.165
Text,PS_YSLText,120,0,Ì≈  DN300,CDShxStyle,Ì≈  DN300,20921,"c(37493462.4152379, 2394610.14843619)",37493462.42,2394610.148
Text,PS_YSLText,120,0,PE  DN300,CDShxStyle,PE  DN300,20922,"c(37493670.5249995, 2394685.82355543)",37493670.52,2394685.824
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20923,"c(37493678.1525004, 2394673.14187997)",37493678.15,2394673.142
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20924,"c(37493678.173, 2394643.18343351)",37493678.17,2394643.183
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,20925,"c(37493706.8726347, 2394657.19558772)",37493706.87,2394657.196
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20926,"c(37493678.0830094, 2394613.17757306)",37493678.08,2394613.178
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20927,"c(37493677.8155336, 2394583.06579322)",37493677.82,2394583.066
Text,PS_YSLText,120,0,PVC  DN80,CDShxStyle,PVC  DN80,20928,"c(37493672.4659239, 2394603.58925543)",37493672.47,2394603.589
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20929,"c(37493676.2661035, 2394553.00631573)",37493676.27,2394553.006
Text,PS_YSLText,120,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,20930,"c(37493670.1927287, 2394539.11959785)",37493670.19,2394539.12
