Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y
Circle,PS_YSP,37493936.88,2394477.531,37493936.88,2394477.531,37493936.28,2394477.531,1.0,"c(37493936.58, 2394477.531)",37493936.58,2394477.531
Circle,PS_YSP,37493715.407,2394310.853,37493715.407,2394310.853,37493714.807,2394310.853,1.0,"c(37493715.10699999, 2394310.853)",37493715.10699999,2394310.853
Circle,PS_YSP,37493681.604,2394369.793,37493681.604,2394369.793,37493681.004,2394369.793,1.0,"c(37493681.304000005, 2394369.793)",37493681.304000005,2394369.793
Circle,PS_YSP,37493681.554,2394372.715,37493681.554,2394372.715,37493680.954,2394372.715,1.0,"c(37493681.254, 2394372.715)",37493681.254,2394372.715
Circle,PS_YSP,37493665.181,2394539.239,37493665.181,2394539.239,37493664.581,2394539.239,1.0,"c(37493664.881, 2394539.239)",37493664.881,2394539.239
Circle,PS_YSP,37493674.217,2394525.032,37493674.217,2394525.032,37493673.617,2394525.032,1.0,"c(37493673.916999996, 2394525.032)",37493673.916999996,2394525.032
Circle,PS_YSP,37493287.578,2394684.992,37493287.578,2394684.992,37493286.978,2394684.992,1.0,"c(37493287.278, 2394684.992)",37493287.278,2394684.992
Circle,PS_YSP,37493681.632,2394265.849,37493681.632,2394265.849,37493681.032,2394265.849,1.0,"c(37493681.332, 2394265.849)",37493681.332,2394265.849
Circle,PS_YSP,37493681.73,2394273.659,37493681.73,2394273.659,37493681.13,2394273.659,1.0,"c(37493681.43, 2394273.659)",37493681.43,2394273.659
Circle,PS_YSP,37494179.124,2394368.032,37494179.124,2394368.032,37494178.524,2394368.032,1.0,"c(37494178.824, 2394368.032)",37494178.824,2394368.032
Circle,PS_YSP,37494179.63,2394364.547,37494179.63,2394364.547,37494179.03,2394364.547,1.0,"c(37494179.33, 2394364.547)",37494179.33,2394364.547
Circle,PS_YSP,37493197.525,2394711.536,37493197.525,2394711.536,37493196.925,2394711.536,1.0,"c(37493197.224999994, 2394711.536)",37493197.224999994,2394711.536
Circle,PS_YSP,37494167.245,2394408.36,37494167.245,2394408.36,37494166.645,2394408.36,1.0,"c(37494166.945, 2394408.36)",37494166.945,2394408.36
Circle,PS_YSP,37494184.498,2394408.508,37494184.498,2394408.508,37494183.898,2394408.508,1.0,"c(37494184.198, 2394408.508)",37494184.198,2394408.508
Circle,PS_YSP,37493764.064,2394372.737,37493764.064,2394372.737,37493763.464,2394372.737,1.0,"c(37493763.764, 2394372.737)",37493763.764,2394372.737
Circle,PS_YSP,37494230.4,2394353.218,37494230.4,2394353.218,37494229.8,2394353.218,1.0,"c(37494230.099999994, 2394353.218)",37494230.099999994,2394353.218
Circle,PS_YSP,37493735.393,2394657.167,37493735.393,2394657.167,37493734.793,2394657.167,1.0,"c(37493735.092999995, 2394657.167)",37493735.092999995,2394657.167
Circle,PS_YSP,37493715.503,2394260.695,37493715.503,2394260.695,37493714.903,2394260.695,1.0,"c(37493715.202999994, 2394260.695)",37493715.202999994,2394260.695
Circle,PS_YSP,37494238.167,2394353.379,37494238.167,2394353.379,37494237.567,2394353.379,1.0,"c(37494237.867, 2394353.379)",37494237.867,2394353.379
Circle,PS_YSP,37494198.847,2394603.171,37494198.847,2394603.171,37494198.247,2394603.171,1.0,"c(37494198.547000006, 2394603.171)",37494198.547000006,2394603.171
Circle,PS_YSP,37493749.288,2394433.325,37493749.288,2394433.325,37493748.688,2394433.325,1.0,"c(37493748.988000005, 2394433.325)",37493748.988000005,2394433.325
Circle,PS_YSP,37493729.663,2394406.026,37493729.663,2394406.026,37493729.063,2394406.026,1.0,"c(37493729.363000005, 2394406.026)",37493729.363000005,2394406.026
Circle,PS_YSP,37493716.433,2394372.737,37493716.433,2394372.737,37493715.833,2394372.737,1.0,"c(37493716.133, 2394372.737)",37493716.133,2394372.737
Circle,PS_YSP,37493742.143,2394462.923,37493742.143,2394462.923,37493741.543,2394462.923,1.0,"c(37493741.842999995, 2394462.923)",37493741.842999995,2394462.923
Circle,PS_YSP,37494186.506,2394388.628,37494186.506,2394388.628,37494185.906,2394388.628,1.0,"c(37494186.206, 2394388.628)",37494186.206,2394388.628
Circle,PS_YSP,37494225.7,2394175.064,37494225.7,2394175.064,37494225.1,2394175.064,1.0,"c(37494225.400000006, 2394175.064)",37494225.400000006,2394175.064
Circle,PS_YSP,37493681.632,2394341.24,37493681.632,2394341.24,37493681.032,2394341.24,1.0,"c(37493681.332, 2394341.24)",37493681.332,2394341.24
Circle,PS_YSP,37494015.459,2394492.543,37494015.459,2394492.543,37494014.859,2394492.543,1.0,"c(37494015.158999994, 2394492.543)",37494015.158999994,2394492.543
Circle,PS_YSP,37493666.122,2394608.187,37493666.122,2394608.187,37493665.522,2394608.187,1.0,"c(37493665.822, 2394608.187)",37493665.822,2394608.187
Circle,PS_YSP,37493197.591,2394580.531,37493197.591,2394580.531,37493196.991,2394580.531,1.0,"c(37493197.29099999, 2394580.531)",37493197.29099999,2394580.531
Circle,PS_YSP,37493196.093,2394579.287,37493196.093,2394579.287,37493195.493,2394579.287,1.0,"c(37493195.793, 2394579.287)",37493195.793,2394579.287
Circle,PS_YSP,37493204.29,2394580.244,37493204.29,2394580.244,37493203.69,2394580.244,1.0,"c(37493203.989999995, 2394580.244)",37493203.989999995,2394580.244
Circle,PS_YSP,37493205.344,2394578.736,37493205.344,2394578.736,37493204.744,2394578.736,1.0,"c(37493205.044, 2394578.736)",37493205.044,2394578.736
Circle,PS_YSP,37493191.517,2394577.272,37493191.517,2394577.272,37493190.917,2394577.272,1.0,"c(37493191.217, 2394577.272)",37493191.217,2394577.272
Circle,PS_YSP,37493197.553,2394601.824,37493197.553,2394601.824,37493196.953,2394601.824,1.0,"c(37493197.253000006, 2394601.824)",37493197.253000006,2394601.824
Circle,PS_YSP,37493197.532,2394623.094,37493197.532,2394623.094,37493196.932,2394623.094,1.0,"c(37493197.23199999, 2394623.094)",37493197.23199999,2394623.094
Circle,PS_YSP,37493204.328,2394624.647,37493204.328,2394624.647,37493203.728,2394624.647,1.0,"c(37493204.028, 2394624.647)",37493204.028,2394624.647
Circle,PS_YSP,37493197.625,2394656.758,37493197.625,2394656.758,37493197.025,2394656.758,1.0,"c(37493197.325, 2394656.758)",37493197.325,2394656.758
Circle,PS_YSP,37493204.245,2394657.859,37493204.245,2394657.859,37493203.645,2394657.859,1.0,"c(37493203.945, 2394657.859)",37493203.945,2394657.859
Circle,PS_YSP,37493204.317,2394698.517,37493204.317,2394698.517,37493203.717,2394698.517,1.0,"c(37493204.017000005, 2394698.517)",37493204.017000005,2394698.517
Circle,PS_YSP,37494045.254,2394535.278,37494045.254,2394535.278,37494044.654,2394535.278,1.0,"c(37494044.953999996, 2394535.278)",37494044.953999996,2394535.278
Circle,PS_YSP,37494013.738,2394528.511,37494013.738,2394528.511,37494013.138,2394528.511,1.0,"c(37494013.43799999, 2394528.511)",37494013.43799999,2394528.511
Circle,PS_YSP,37494013.862,2394531.12,37494013.862,2394531.12,37494013.262,2394531.12,1.0,"c(37494013.56200001, 2394531.12)",37494013.56200001,2394531.12
Circle,PS_YSP,37494014.228,2394558.122,37494014.228,2394558.122,37494013.628,2394558.122,1.0,"c(37494013.928, 2394558.122)",37494013.928,2394558.122
Circle,PS_YSP,37494013.641,2394588.499,37494013.641,2394588.499,37494013.041,2394588.499,1.0,"c(37494013.341000006, 2394588.499)",37494013.341000006,2394588.499
Circle,PS_YSP,37493944.308,2394442.93,37493944.308,2394442.93,37493943.708,2394442.93,1.0,"c(37493944.008, 2394442.93)",37493944.008,2394442.93
Circle,PS_YSP,37494045.453,2394529.578,37494045.453,2394529.578,37494044.853,2394529.578,1.0,"c(37494045.153, 2394529.578)",37494045.153,2394529.578
Circle,PS_YSP,37494173.888,2394530.288,37494173.888,2394530.288,37494173.288,2394530.288,1.0,"c(37494173.588, 2394530.288)",37494173.588,2394530.288
Circle,PS_YSP,37494186.432,2394529.753,37494186.432,2394529.753,37494185.832,2394529.753,1.0,"c(37494186.132, 2394529.753)",37494186.132,2394529.753
Circle,PS_YSP,37494170.342,2394471.346,37494170.342,2394471.346,37494169.742,2394471.346,1.0,"c(37494170.041999996, 2394471.346)",37494170.041999996,2394471.346
Circle,PS_YSP,37494184.408,2394469.894,37494184.408,2394469.894,37494183.808,2394469.894,1.0,"c(37494184.107999995, 2394469.894)",37494184.107999995,2394469.894
Circle,PS_YSP,37494226.855,2394283.423,37494226.855,2394283.423,37494226.255,2394283.423,1.0,"c(37494226.555, 2394283.423)",37494226.555,2394283.423
Circle,PS_YSP,37494227.593,2394305.426,37494227.593,2394305.426,37494226.993,2394305.426,1.0,"c(37494227.293, 2394305.426)",37494227.293,2394305.426
Circle,PS_YSP,37493288.292,2394647.666,37493288.292,2394647.666,37493287.692,2394647.666,1.0,"c(37493287.992, 2394647.666)",37493287.992,2394647.666
Circle,PS_YSP,37494180.838,2394378.531,37494180.838,2394378.531,37494180.238,2394378.531,1.0,"c(37494180.538, 2394378.531)",37494180.538,2394378.531
Circle,PS_YSP,37493715.312,2394374.425,37493715.312,2394374.425,37493714.712,2394374.425,1.0,"c(37493715.011999995, 2394374.425)",37493715.011999995,2394374.425
Circle,PS_YSP,37494178.637,2394358.149,37494178.637,2394358.149,37494178.037,2394358.149,1.0,"c(37494178.337, 2394358.149)",37494178.337,2394358.149
Circle,PS_YSP,37494180.139,2394353.009,37494180.139,2394353.009,37494179.539,2394353.009,1.0,"c(37494179.839, 2394353.009)",37494179.839,2394353.009
Circle,PS_YSP,37494173.287,2394378.112,37494173.287,2394378.112,37494172.687,2394378.112,1.0,"c(37494172.987, 2394378.112)",37494172.987,2394378.112
Circle,PS_YSP,37494175.454,2394373.058,37494175.454,2394373.058,37494174.854,2394373.058,1.0,"c(37494175.154, 2394373.058)",37494175.154,2394373.058
Circle,PS_YSP,37494172.213,2394353.42,37494172.213,2394353.42,37494171.613,2394353.42,1.0,"c(37494171.913, 2394353.42)",37494171.913,2394353.42
Circle,PS_YSP,37494189.323,2394282.671,37494189.323,2394282.671,37494188.723,2394282.671,1.0,"c(37494189.023, 2394282.671)",37494189.023,2394282.671
Circle,PS_YSP,37494189.389,2394282.975,37494189.389,2394282.975,37494188.789,2394282.975,1.0,"c(37494189.089, 2394282.975)",37494189.089,2394282.975
Circle,PS_YSP,37494188.028,2394255.934,37494188.028,2394255.934,37494187.428,2394255.934,1.0,"c(37494187.728, 2394255.934)",37494187.728,2394255.934
Circle,PS_YSP,37493665.062,2394687.75,37493665.062,2394687.75,37493664.462,2394687.75,1.0,"c(37493664.761999995, 2394687.75)",37493664.761999995,2394687.75
Circle,PS_YSP,37490865.228,2394888.491,37490865.228,2394888.491,37490864.628,2394888.491,1.0,"c(37490864.928, 2394888.491)",37490864.928,2394888.491
Circle,PS_YSP,37491775.906,2395372.642,37491775.906,2395372.642,37491775.306,2395372.642,1.0,"c(37491775.606000006, 2395372.642)",37491775.606000006,2395372.642
Circle,PS_YSP,37494087.559,2396141.333,37494087.559,2396141.333,37494086.959,2396141.333,1.0,"c(37494087.259, 2396141.333)",37494087.259,2396141.333
Circle,PS_YSP,37493286.918,2394581.386,37493286.918,2394581.386,37493286.318,2394581.386,1.0,"c(37493286.618, 2394581.386)",37493286.618,2394581.386
Circle,PS_YSP,37493287.224,2394591.864,37493287.224,2394591.864,37493286.624,2394591.864,1.0,"c(37493286.923999995, 2394591.864)",37493286.923999995,2394591.864
Circle,PS_YSP,37493284.356,2394565.947,37493284.356,2394565.947,37493283.756,2394565.947,1.0,"c(37493284.055999994, 2394565.947)",37493284.055999994,2394565.947
Circle,PS_YSP,37493277.933,2394565.056,37493277.933,2394565.056,37493277.333,2394565.056,1.0,"c(37493277.633, 2394565.056)",37493277.633,2394565.056
Circle,PS_YSP,37494000.549,2394662.315,37494000.549,2394662.315,37493999.949,2394662.315,1.0,"c(37494000.249, 2394662.315)",37494000.249,2394662.315
Circle,PS_YSP,37494194.961,2394585.474,37494194.961,2394585.474,37494194.361,2394585.474,1.0,"c(37494194.661, 2394585.474)",37494194.661,2394585.474
Circle,PS_YSP,37494177.295,2394585.482,37494177.295,2394585.482,37494176.695,2394585.482,1.0,"c(37494176.995000005, 2394585.482)",37494176.995000005,2394585.482
Circle,PS_YSP,37494188.571,2394570.71,37494188.571,2394570.71,37494187.971,2394570.71,1.0,"c(37494188.271, 2394570.71)",37494188.271,2394570.71
Circle,PS_YSP,37493451.967,2394633.619,37493451.967,2394633.619,37493451.367,2394633.619,1.0,"c(37493451.666999996, 2394633.619)",37493451.666999996,2394633.619
Circle,PS_YSP,37493458.716,2394594.482,37493458.716,2394594.482,37493458.116,2394594.482,1.0,"c(37493458.41599999, 2394594.482)",37493458.41599999,2394594.482
Circle,PS_YSP,37493466.142,2394609.485,37493466.142,2394609.485,37493465.542,2394609.485,1.0,"c(37493465.842, 2394609.485)",37493465.842,2394609.485
Circle,PS_YSP,37493681.57,2394302.361,37493681.57,2394302.361,37493680.97,2394302.361,1.0,"c(37493681.269999996, 2394302.361)",37493681.269999996,2394302.361
Circle,PS_YSP,37493681.559,2394305.232,37493681.559,2394305.232,37493680.959,2394305.232,1.0,"c(37493681.259, 2394305.232)",37493681.259,2394305.232
Circle,PS_YSP,37493681.572,2394333.905,37493681.572,2394333.905,37493680.972,2394333.905,1.0,"c(37493681.272, 2394333.905)",37493681.272,2394333.905
Circle,PS_YSP,37494199.109,2394433.966,37494199.109,2394433.966,37494198.509,2394433.966,1.0,"c(37494198.809, 2394433.966)",37494198.809,2394433.966
Circle,PS_YSP,37494018.618,2394487.175,37494018.618,2394487.175,37494018.018,2394487.175,1.0,"c(37494018.318, 2394487.175)",37494018.318,2394487.175
Circle,PS_YSP,37492397.093,2397631.874,37492397.093,2397631.874,37492396.493,2397631.874,1.0,"c(37492396.793, 2397631.874)",37492396.793,2397631.874
Circle,PS_YSP,37490878.911,2394880.708,37490878.911,2394880.708,37490878.311,2394880.708,1.0,"c(37490878.611, 2394880.708)",37490878.611,2394880.708
Circle,PS_YSP,37493688.547,2394774.245,37493688.547,2394774.245,37493687.947,2394774.245,1.0,"c(37493688.246999994, 2394774.245)",37493688.246999994,2394774.245
Circle,PS_YSP,37493721.882,2396056.283,37493721.882,2396056.283,37493721.282,2396056.283,1.0,"c(37493721.582, 2396056.283)",37493721.582,2396056.283
Circle,PS_YSP,37494241.344,2395186.759,37494241.344,2395186.759,37494240.744,2395186.759,1.0,"c(37494241.044, 2395186.759)",37494241.044,2395186.759
Circle,PS_YSP,37494236.666,2395192.48,37494236.666,2395192.48,37494236.066,2395192.48,1.0,"c(37494236.366, 2395192.48)",37494236.366,2395192.48
Circle,PS_YSP,37494123.186,2395421.876,37494123.186,2395421.876,37494122.586,2395421.876,1.0,"c(37494122.886, 2395421.876)",37494122.886,2395421.876
Circle,PS_YSP,37494153.265,2396144.016,37494153.265,2396144.016,37494152.665,2396144.016,1.0,"c(37494152.965, 2396144.016)",37494152.965,2396144.016
Circle,PS_YSP,37493655.778,2395752.462,37493655.778,2395752.462,37493655.178,2395752.462,1.0,"c(37493655.478, 2395752.462)",37493655.478,2395752.462
Circle,PS_YSP,37492394.206,2395758.137,37492394.206,2395758.137,37492393.606,2395758.137,1.0,"c(37492393.906, 2395758.137)",37492393.906,2395758.137
Circle,PS_YSP,37493670.466,2398549.076,37493670.466,2398549.076,37493669.866,2398549.076,1.0,"c(37493670.16599999, 2398549.076)",37493670.16599999,2398549.076
Circle,PS_YSP,37493694.851,2398549.239,37493694.851,2398549.239,37493694.251,2398549.239,1.0,"c(37493694.551, 2398549.239)",37493694.551,2398549.239
Circle,PS_YSP,37493068.933,2396027.83,37493068.933,2396027.83,37493068.333,2396027.83,1.0,"c(37493068.633, 2396027.83)",37493068.633,2396027.83
Circle,PS_YSP,37492270.112,2395160.384,37492270.112,2395160.384,37492269.512,2395160.384,1.0,"c(37492269.81200001, 2395160.384)",37492269.81200001,2395160.384
Circle,PS_YSP,37493241.976,2394921.924,37493241.976,2394921.924,37493241.376,2394921.924,1.0,"c(37493241.676, 2394921.924)",37493241.676,2394921.924
Circle,PS_YSP,37492430.782,2395947.074,37492430.782,2395947.074,37492430.182,2395947.074,1.0,"c(37492430.48199999, 2395947.074)",37492430.48199999,2395947.074
Circle,PS_YSP,37492408.286,2395947.1,37492408.286,2395947.1,37492407.686,2395947.1,1.0,"c(37492407.986, 2395947.1)",37492407.986,2395947.1
Circle,PS_YSP,37493732.767,2394764.811,37493732.767,2394764.811,37493732.167,2394764.811,1.0,"c(37493732.467, 2394764.811)",37493732.467,2394764.811
Circle,PS_YSP,37494100.993,2397731.426,37494100.993,2397731.426,37494100.393,2397731.426,1.0,"c(37494100.693, 2397731.426)",37494100.693,2397731.426
Circle,PS_YSP,37493090.737,2398258.311,37493090.737,2398258.311,37493090.137,2398258.311,1.0,"c(37493090.43700001, 2398258.311)",37493090.43700001,2398258.311
