Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,ORIG_FID,geometry
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,1,"c(37493679.688, 2394265.744)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,2,"c(37493451.56, 2394676.746)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,3,"c(37493459.384, 2394676.935)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,4,"c(37493449.042, 2394671.214)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,5,"c(37493449.225, 2394676.959)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,6,"c(37493451.134, 2394669.925)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7,"c(37493927.087, 2394429.193)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8,"c(37493933.809, 2394460.353)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,9,"c(37493935.48, 2394459.614)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,10,"c(37493927.02, 2394459.701)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,11,"c(37493929.898, 2394481.451)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,12,"c(37493935.258, 2394478.029)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,13,"c(37493973.455, 2394493.372)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,14,"c(37493996.483, 2394492.243)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,15,"c(37493996.173, 2394484.997)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,16,"c(37493946.607, 2394491.612)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,17,"c(37493946.635, 2394484.929)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,18,"c(37493946.779, 2394483.661)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,19,"c(37493729.178, 2394652.722)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,20,"c(37493716.51, 2394653.166)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,21,"c(37493718.344, 2394653.174)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,22,"c(37493715.02, 2394283.872)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,23,"c(37494222.313, 2394224.711)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,24,"c(37493716.597, 2394623.115)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,25,"c(37493718.368, 2394623.272)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,26,"c(37493716.528, 2394593.055)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,27,"c(37493718.386, 2394593.051)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,28,"c(37493717.497, 2394563.028)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,29,"c(37493719.165, 2394563.181)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,30,"c(37493966.244, 2394484.876)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,31,"c(37493966.14, 2394483.715)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,32,"c(37493675.388, 2394538.007)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,33,"c(37493674.265, 2394532.311)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,34,"c(37493673.012, 2394533.291)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,35,"c(37493670.935, 2394503.345)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,36,"c(37493683.832, 2394452.956)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,37,"c(37493277.464, 2394666.397)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,38,"c(37493281.248, 2394670.695)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,39,"c(37493277.329, 2394647.792)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,40,"c(37493710.91, 2394290.281)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,41,"c(37493710.808, 2394278.687)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,42,"c(37493710.919, 2394267.097)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,43,"c(37493710.921, 2394255.534)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,44,"c(37493710.83, 2394246.743)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,45,"c(37493710.874, 2394394.562)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,46,"c(37493710.796, 2394382.912)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,47,"c(37493710.913, 2394371.292)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,48,"c(37493710.854, 2394360.062)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,49,"c(37493710.82, 2394348.401)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,50,"c(37493710.831, 2394336.857)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,51,"c(37493683.75, 2394441.932)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,52,"c(37493683.729, 2394430.243)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,53,"c(37493679.701, 2394273.697)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,54,"c(37493281.78, 2394684.565)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,55,"c(37493277.521, 2394685.16)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,56,"c(37493683.919, 2394247.091)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,57,"c(37493681.152, 2394246.999)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,58,"c(37493683.828, 2394238.341)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,59,"c(37493720.232, 2394532.872)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,60,"c(37493722.033, 2394532.934)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,61,"c(37493764.294, 2394375.013)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,62,"c(37493764.324, 2394374.423)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,63,"c(37493678.671, 2394658.224)"
