cod,data_time
125.1861,2023/3/22 0:31
125.1861,2023/3/22 0:30
223.1026,2023/3/22 0:29
47.5154,2023/3/21 2:42
47.5154,2023/3/21 2:41
160.3,2023/3/21 2:37
46.2293,2023/3/21 0:01
46.2293,2023/3/21 0:00
155.9394,2023/3/20 23:57
133.4939,2023/3/20 21:17
133.4939,2023/3/20 21:16
172.9433,2023/3/20 18:37
172.9433,2023/3/20 18:36
94.9605,2023/3/20 15:57
94.9605,2023/3/20 15:56
94.9605,2023/3/20 15:55
94.9605,2023/3/20 15:54
94.9605,2023/3/20 15:53
273.2275,2023/3/20 0:06
273.2275,2023/3/20 0:05
130.5097,2023/3/20 0:04
3.9653,2023/3/19 21:26
129.7094,2023/3/19 21:25
129.7094,2023/3/19 21:24
130.9877,2023/3/19 18:45
130.9877,2023/3/19 18:44
130.9877,2023/3/19 18:43
130.9877,2023/3/19 18:42
130.2057,2023/3/19 17:20
130.2057,2023/3/19 17:19
130.2057,2023/3/19 17:18
130.2057,2023/3/19 17:15
48.5923,2023/3/19 3:55
128.7788,2023/3/19 3:53
49.3544,2023/3/19 1:15
49.3544,2023/3/19 1:14
131.5039,2023/3/19 1:13
131.5039,2023/3/19 1:12
44.5475,2023/3/18 22:34
44.5475,2023/3/18 22:33
134.8007,2023/3/18 22:32
44.5475,2023/3/18 22:31
44.5475,2023/3/18 22:30
134.8007,2023/3/18 22:29
69.0903,2023/3/18 10:11
69.0903,2023/3/18 10:10
130.6844,2023/3/18 10:03
130.6844,2023/3/18 10:02
69.0903,2023/3/18 7:29
69.0903,2023/3/18 4:49
69.0903,2023/3/18 4:48
129.2219,2023/3/18 4:41
69.0903,2023/3/18 2:07
131.3336,2023/3/18 2:01
131.3336,2023/3/18 2:00
69.0903,2023/3/17 23:27
69.0903,2023/3/17 23:26
129.9989,2023/3/17 23:21
129.9989,2023/3/17 23:20
69.0903,2023/3/17 20:45
69.0903,2023/3/17 18:05
69.0903,2023/3/17 18:04
132.0228,2023/3/17 17:59
69.0903,2023/3/17 15:23
69.0903,2023/3/17 15:22
130.5539,2023/3/17 15:19
130.5539,2023/3/17 15:18
68.0891,2023/3/17 12:41
131.8609,2023/3/17 12:39
131.8609,2023/3/17 12:38
40.7316,2023/3/17 10:01
40.7316,2023/3/17 10:00
131.4513,2023/3/17 9:57
40.5123,2023/3/17 7:19
40.5123,2023/3/17 7:18
133.0208,2023/3/17 7:17
133.0208,2023/3/17 7:16
126.9936,2023/3/17 4:37
126.9936,2023/3/17 4:36
126.9936,2023/3/17 4:35
43.6813,2023/3/17 1:57
43.6813,2023/3/17 1:56
131.2771,2023/3/17 1:55
43.8841,2023/3/16 23:16
43.8841,2023/3/16 23:15
43.8841,2023/3/16 23:14
43.8841,2023/3/16 23:13
43.8841,2023/3/16 23:12
130.0812,2023/3/16 11:52
130.0812,2023/3/16 11:51
130.0812,2023/3/16 11:50
130.0812,2023/3/16 11:49
130.0812,2023/3/16 11:48
130.0812,2023/3/16 11:47
130.0812,2023/3/16 11:46
130.0812,2023/3/16 11:45
130.0812,2023/3/16 11:44
130.0812,2023/3/16 11:43
130.0812,2023/3/16 11:42
130.0812,2023/3/16 11:41
130.0812,2023/3/16 11:40
131.3388,2023/3/16 11:39
131.3388,2023/3/16 11:38
131.3388,2023/3/16 11:37
131.3388,2023/3/16 11:36
131.3388,2023/3/16 11:35
131.3388,2023/3/16 11:34
131.3388,2023/3/16 11:33
