cod,data_time,date,hour,weekday,week,day_count,week_count,data_start_time,data_duration,data_duration_hour
76.7,2022-12-25 00:35:30,2022-12-25,00:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 00:00:00,00:35:30,0.5917
107.3,2022-12-25 02:35:30,2022-12-25,02:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 00:36:00,01:59:30,1.9917
111.4,2022-12-25 04:35:30,2022-12-25,04:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 02:36:00,01:59:30,1.9917
116.6,2022-12-25 06:35:30,2022-12-25,06:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 04:36:00,01:59:30,1.9917
114.7,2022-12-25 08:35:30,2022-12-25,08:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 06:36:00,01:59:30,1.9917
116.3,2022-12-25 10:35:30,2022-12-25,10:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 08:36:00,01:59:30,1.9917
104.0,2022-12-25 12:35:30,2022-12-25,12:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 10:36:00,01:59:30,1.9917
97.5,2022-12-25 14:35:30,2022-12-25,14:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 12:36:00,01:59:30,1.9917
97.9,2022-12-25 16:35:30,2022-12-25,16:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 14:36:00,01:59:30,1.9917
93.5,2022-12-25 18:35:30,2022-12-25,18:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 16:36:00,01:59:30,1.9917
91.0,2022-12-25 20:35:30,2022-12-25,20:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 18:36:00,01:59:30,1.9917
86.3,2022-12-25 22:35:30,2022-12-25,22:00:00,Sunday,2022-12-19,2794,2794,2022-12-25 20:36:00,01:59:30,1.9917
88.9,2022-12-26 00:36:30,2022-12-26,00:00:00,Monday,2022-12-26,2816,19655,2022-12-25 22:36:00,02:00:30,2.0083
97.0,2022-12-26 02:35:30,2022-12-26,02:00:00,Monday,2022-12-26,2816,19655,2022-12-26 00:37:00,01:58:30,1.975
97.2,2022-12-26 04:36:30,2022-12-26,04:00:00,Monday,2022-12-26,2816,19655,2022-12-26 02:36:00,02:00:30,2.0083
98.2,2022-12-26 06:35:30,2022-12-26,06:00:00,Monday,2022-12-26,2816,19655,2022-12-26 04:37:00,01:58:30,1.975
100.4,2022-12-26 08:36:30,2022-12-26,08:00:00,Monday,2022-12-26,2816,19655,2022-12-26 06:36:00,02:00:30,2.0083
95.8,2022-12-26 10:36:30,2022-12-26,10:00:00,Monday,2022-12-26,2816,19655,2022-12-26 08:37:00,01:59:30,1.9917
94.7,2022-12-26 12:35:30,2022-12-26,12:00:00,Monday,2022-12-26,2816,19655,2022-12-26 10:37:00,01:58:30,1.975
91.6,2022-12-26 14:35:30,2022-12-26,14:00:00,Monday,2022-12-26,2816,19655,2022-12-26 12:36:00,01:59:30,1.9917
95.1,2022-12-26 16:35:30,2022-12-26,16:00:00,Monday,2022-12-26,2816,19655,2022-12-26 14:36:00,01:59:30,1.9917
95.2,2022-12-26 18:35:30,2022-12-26,18:00:00,Monday,2022-12-26,2816,19655,2022-12-26 16:36:00,01:59:30,1.9917
87.8,2022-12-26 20:35:30,2022-12-26,20:00:00,Monday,2022-12-26,2816,19655,2022-12-26 18:36:00,01:59:30,1.9917
74.9,2022-12-26 22:36:30,2022-12-26,22:00:00,Monday,2022-12-26,2816,19655,2022-12-26 20:36:00,02:00:30,2.0083
73.6,2022-12-27 00:36:30,2022-12-27,00:00:00,Tuesday,2022-12-26,2832,19655,2022-12-26 22:37:00,01:59:30,1.9917
91.1,2022-12-27 02:36:30,2022-12-27,02:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 00:37:00,01:59:30,1.9917
96.1,2022-12-27 04:35:30,2022-12-27,04:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 02:37:00,01:58:30,1.975
98.7,2022-12-27 06:35:30,2022-12-27,06:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 04:36:00,01:59:30,1.9917
101.3,2022-12-27 08:36:30,2022-12-27,08:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 06:36:00,02:00:30,2.0083
97.5,2022-12-27 10:36:30,2022-12-27,10:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 08:37:00,01:59:30,1.9917
94.0,2022-12-27 14:35:30,2022-12-27,14:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 10:37:00,03:58:30,3.975
93.9,2022-12-27 16:35:30,2022-12-27,16:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 14:36:00,01:59:30,1.9917
94.1,2022-12-27 18:35:30,2022-12-27,18:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 16:36:00,01:59:30,1.9917
95.8,2022-12-27 20:36:30,2022-12-27,20:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 18:36:00,02:00:30,2.0083
88.1,2022-12-27 22:35:30,2022-12-27,22:00:00,Tuesday,2022-12-26,2832,19655,2022-12-27 20:37:00,01:58:30,1.975
79.2,2022-12-28 00:35:30,2022-12-28,00:00:00,Wednesday,2022-12-26,2793,19655,2022-12-27 22:36:00,01:59:30,1.9917
83.7,2022-12-28 02:36:30,2022-12-28,02:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 00:36:00,02:00:30,2.0083
95.6,2022-12-28 04:36:30,2022-12-28,04:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 02:37:00,01:59:30,1.9917
95.4,2022-12-28 06:36:30,2022-12-28,06:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 04:37:00,01:59:30,1.9917
95.5,2022-12-28 08:36:30,2022-12-28,08:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 06:37:00,01:59:30,1.9917
95.4,2022-12-28 10:36:30,2022-12-28,10:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 08:37:00,01:59:30,1.9917
92.3,2022-12-28 12:36:30,2022-12-28,12:00:00,Wednesday,2022-12-26,2793,19655,2022-12-28 10:37:00,01:59:30,1.9917
