date,COD,count
2023-08-11,76.6,16
2023-08-11,78.0,4
2023-08-11,81.2,1
2023-08-11,98.4,3
2023-08-11,99.1,8
2023-08-11,112.0,3
2023-08-11,114.2,3
2023-08-11,124.1,2
2023-08-11,134.4,2
2023-08-11,165.0,2
2023-08-11,205.3,4
2023-08-11,232.0,1
2023-08-12,86.1,2
2023-08-12,106.5,3
2023-08-12,119.7,4
2023-08-12,124.4,34
2023-08-12,135.5,4
2023-08-12,173.8,2
2023-08-12,232.0,1
2023-08-12,284.0,3
2023-08-12,311.6,12
2023-08-12,344.9,3
2023-08-12,412.7,11
2023-08-13,69.9,2
2023-08-13,75.8,3
2023-08-13,79.6,6
2023-08-13,83.6,1
2023-08-13,86.1,1
2023-08-13,89.8,3
2023-08-13,90.5,6
2023-08-13,93.0,3
2023-08-13,94.1,9
2023-08-13,102.2,6
2023-08-13,103.2,3
2023-08-13,134.0,4
2023-08-14,30.1,26
2023-08-14,83.6,2
2023-08-14,85.1,1
2023-08-14,87.3,31
2023-08-14,97.4,4
2023-08-14,100.1,2
2023-08-14,101.3,4
2023-08-14,105.5,2
2023-08-14,119.4,4
2023-08-14,131.2,4
2023-08-14,144.2,3
2023-08-14,171.8,3
2023-08-15,79.8,4
2023-08-15,105.5,1
2023-08-15,116.5,1
2023-08-15,117.9,3
2023-08-15,122.9,7
2023-08-15,237.8,9
2023-08-16,121.6,12
2023-08-17,81.6,10
2023-08-17,110.6,1
2023-08-17,122.6,4
2023-08-17,132.4,3
2023-08-17,138.5,3
2023-08-17,145.8,1
2023-08-17,159.7,5
2023-08-17,162.3,3
2023-08-17,249.5,3
2023-08-18,105.7,4
2023-08-18,113.4,3
2023-08-18,134.5,7
2023-08-18,135.0,3
2023-08-18,136.7,4
2023-08-18,145.8,1
2023-08-18,156.3,3
2023-08-18,161.9,2
2023-08-18,170.0,31
2023-08-18,177.7,2
2023-08-18,177.8,3
2023-08-18,178.2,3
2023-08-18,193.2,3
2023-08-19,121.7,1
2023-08-19,170.8,8
2023-08-19,175.5,7
2023-08-19,198.5,10
2023-08-20,111.2,2
2023-08-20,114.3,1
2023-08-20,117.1,3
2023-08-23,87.3,14
2023-08-23,95.4,4
2023-08-23,105.5,5
2023-08-23,110.1,27
2023-08-23,115.7,21
2023-08-23,134.8,8
2023-08-23,135.5,12
2023-08-23,138.6,3
2023-08-23,253.3,3
2023-08-24,95.4,1
2023-08-24,111.8,3
2023-08-24,127.7,3
2023-08-25,95.8,23
2023-08-25,102.9,2
2023-08-25,104.0,3
2023-08-25,120.3,1
2023-08-25,247.6,3
