date,hour,COD
2023-07-11,00:00:00,1
2023-07-11,02:00:00,1
2023-07-11,04:00:00,1
2023-07-11,06:00:00,1
2023-07-11,08:00:00,1
2023-07-11,10:00:00,1
2023-07-11,14:00:00,1
2023-07-11,16:00:00,1
2023-07-11,18:00:00,1
2023-07-11,20:00:00,1
2023-07-11,21:00:00,1
2023-07-11,22:00:00,1
2023-07-11,23:00:00,1
2023-07-12,00:00:00,1
2023-07-12,02:00:00,1
2023-07-12,04:00:00,1
2023-07-12,06:00:00,1
2023-07-12,08:00:00,1
2023-07-12,10:00:00,1
2023-07-12,12:00:00,1
2023-07-12,14:00:00,1
2023-07-12,16:00:00,1
2023-07-12,18:00:00,1
2023-07-12,20:00:00,1
2023-07-12,22:00:00,1
2023-07-12,23:00:00,1
2023-07-13,00:00:00,1
2023-07-13,02:00:00,1
2023-07-13,04:00:00,1
2023-07-13,06:00:00,1
2023-07-13,08:00:00,1
2023-07-13,10:00:00,1
2023-07-13,12:00:00,1
2023-07-13,14:00:00,1
2023-07-13,16:00:00,1
2023-07-13,18:00:00,1
2023-07-13,20:00:00,1
2023-07-13,21:00:00,1
2023-07-13,22:00:00,1
2023-07-13,23:00:00,1
2023-07-14,00:00:00,1
2023-07-14,02:00:00,1
2023-07-14,04:00:00,1
2023-07-14,06:00:00,1
2023-07-14,08:00:00,1
2023-07-14,10:00:00,1
2023-07-14,12:00:00,1
2023-07-14,14:00:00,1
2023-07-14,16:00:00,1
2023-07-14,18:00:00,1
2023-07-14,20:00:00,1
2023-07-14,22:00:00,1
2023-07-14,23:00:00,1
2023-07-15,02:00:00,1
2023-07-15,04:00:00,1
2023-07-15,06:00:00,1
2023-07-15,08:00:00,1
2023-07-15,10:00:00,1
2023-07-15,14:00:00,1
2023-07-15,18:00:00,1
2023-07-15,20:00:00,1
2023-07-15,21:00:00,1
2023-07-15,22:00:00,1
2023-07-15,23:00:00,1
2023-07-16,00:00:00,1
2023-07-16,02:00:00,1
2023-07-16,04:00:00,1
2023-07-16,06:00:00,1
2023-07-16,08:00:00,1
2023-07-16,10:00:00,1
2023-07-16,14:00:00,1
2023-07-16,16:00:00,1
2023-07-16,18:00:00,1
2023-07-16,20:00:00,1
2023-07-16,22:00:00,1
2023-07-16,23:00:00,1
2023-07-17,00:00:00,1
2023-07-17,10:00:00,1
2023-07-17,12:00:00,1
2023-07-17,14:00:00,1
2023-07-17,18:00:00,1
2023-07-18,08:00:00,1
2023-07-18,10:00:00,1
2023-07-18,12:00:00,1
2023-07-18,14:00:00,1
2023-07-18,16:00:00,1
2023-07-18,18:00:00,1
2023-07-18,20:00:00,1
2023-07-18,22:00:00,1
2023-07-18,23:00:00,1
2023-07-19,00:00:00,1
2023-07-19,02:00:00,1
2023-07-19,04:00:00,1
2023-07-19,06:00:00,1
2023-07-19,08:00:00,1
2023-07-19,10:00:00,1
2023-07-19,14:00:00,1
2023-07-19,16:00:00,1
2023-07-19,18:00:00,1
2023-07-19,22:00:00,1
2023-07-19,23:00:00,1
2023-07-20,02:00:00,1
