date,COD_original,COD_unique
2023-07-11,986,13
2023-07-12,1062,13
2023-07-13,1008,14
2023-07-14,965,13
2023-07-15,1014,11
2023-07-16,1061,12
2023-07-17,622,5
2023-07-18,115,9
2023-07-19,106,11
2023-07-20,46,12
2023-07-21,102,13
2023-07-22,57,13
2023-07-23,122,14
2023-07-24,136,12
2023-07-25,90,6
2023-07-26,2,1
2023-08-02,91,5
2023-08-03,14,3
2023-08-04,1,1
2023-08-05,56,14
2023-08-06,47,12
2023-08-07,59,14
2023-08-08,85,13
2023-08-09,141,14
2023-08-10,51,12
2023-08-11,49,12
2023-08-12,79,11
2023-08-13,47,12
2023-08-14,86,12
2023-08-15,25,6
2023-08-16,12,1
2023-08-17,33,9
2023-08-18,69,13
2023-08-19,26,4
2023-08-20,6,3
2023-08-23,97,9
2023-08-24,7,3
2023-08-25,32,5
