COD,datetime,date,hour
102.9,2023-08-25 23:29:00,2023-08-25,23:00:00
247.6,2023-08-25 22:12:00,2023-08-25,22:00:00
95.8,2023-08-25 21:49:00,2023-08-25,21:00:00
104.0,2023-08-25 20:10:00,2023-08-25,20:00:00
120.3,2023-08-25 18:21:00,2023-08-25,18:00:00
127.7,2023-08-24 04:10:00,2023-08-24,04:00:00
111.8,2023-08-24 02:10:00,2023-08-24,02:00:00
95.4,2023-08-24 00:10:00,2023-08-24,00:00:00
95.4,2023-08-23 23:25:00,2023-08-23,23:00:00
253.3,2023-08-23 22:12:00,2023-08-23,22:00:00
105.5,2023-08-23 21:49:00,2023-08-23,21:00:00
138.6,2023-08-23 20:10:00,2023-08-23,20:00:00
134.8,2023-08-23 18:24:00,2023-08-23,18:00:00
135.5,2023-08-23 16:31:00,2023-08-23,16:00:00
110.1,2023-08-23 14:41:00,2023-08-23,14:00:00
87.3,2023-08-23 12:27:00,2023-08-23,12:00:00
115.7,2023-08-23 10:12:00,2023-08-23,10:00:00
111.2,2023-08-20 05:04:00,2023-08-20,05:00:00
117.1,2023-08-20 04:10:00,2023-08-20,04:00:00
114.3,2023-08-20 02:25:00,2023-08-20,02:00:00
121.7,2023-08-19 06:42:00,2023-08-19,06:00:00
170.8,2023-08-19 06:33:00,2023-08-19,06:00:00
198.5,2023-08-19 04:34:00,2023-08-19,04:00:00
175.5,2023-08-19 02:10:00,2023-08-19,02:00:00
161.9,2023-08-18 23:04:00,2023-08-18,23:00:00
178.2,2023-08-18 22:10:00,2023-08-18,22:00:00
177.7,2023-08-18 19:04:00,2023-08-18,19:00:00
156.3,2023-08-18 18:10:00,2023-08-18,18:00:00
135.0,2023-08-18 16:10:00,2023-08-18,16:00:00
136.7,2023-08-18 14:10:00,2023-08-18,14:00:00
105.7,2023-08-18 12:10:00,2023-08-18,12:00:00
134.5,2023-08-18 10:31:00,2023-08-18,10:00:00
113.4,2023-08-18 08:10:00,2023-08-18,08:00:00
170.0,2023-08-18 06:10:00,2023-08-18,06:00:00
193.2,2023-08-18 04:10:00,2023-08-18,04:00:00
177.8,2023-08-18 02:10:00,2023-08-18,02:00:00
145.8,2023-08-18 00:10:00,2023-08-18,00:00:00
145.8,2023-08-17 22:42:00,2023-08-17,22:00:00
249.5,2023-08-17 22:12:00,2023-08-17,22:00:00
162.3,2023-08-17 21:16:00,2023-08-17,21:00:00
159.7,2023-08-17 20:10:00,2023-08-17,20:00:00
138.5,2023-08-17 18:10:00,2023-08-17,18:00:00
132.4,2023-08-17 16:10:00,2023-08-17,16:00:00
122.6,2023-08-17 14:10:00,2023-08-17,14:00:00
81.6,2023-08-17 12:10:00,2023-08-17,12:00:00
110.6,2023-08-17 10:32:00,2023-08-17,10:00:00
121.6,2023-08-16 12:38:00,2023-08-16,12:00:00
237.8,2023-08-15 22:19:00,2023-08-15,22:00:00
116.5,2023-08-15 21:49:00,2023-08-15,21:00:00
79.8,2023-08-15 08:27:00,2023-08-15,08:00:00
122.9,2023-08-15 06:10:00,2023-08-15,06:00:00
117.9,2023-08-15 02:10:00,2023-08-15,02:00:00
105.5,2023-08-15 00:10:00,2023-08-15,00:00:00
