datetime,COD,duration
2023-07-11,109.7,178
2023-07-11,122.4,78
2023-07-11,151.8,95
2023-07-11,164.0,26
2023-07-11,169.5,81
2023-07-11,169.9,52
2023-07-11,175.3,57
2023-07-11,178.6,82
2023-07-11,179.0,87
2023-07-11,222.2,79
2023-07-11,226.6,64
2023-07-11,233.0,68
2023-07-11,253.8,39
2023-07-12,110.0,73
2023-07-12,133.0,86
2023-07-12,148.6,88
2023-07-12,165.4,89
2023-07-12,166.2,97
2023-07-12,168.7,88
2023-07-12,175.3,24
2023-07-12,176.9,95
2023-07-12,181.2,93
2023-07-12,199.1,85
2023-07-12,203.0,60
2023-07-12,211.9,90
2023-07-12,232.8,94
2023-07-13,138.2,67
2023-07-13,138.4,94
2023-07-13,165.0,92
2023-07-13,172.2,49
2023-07-13,188.6,43
2023-07-13,196.8,89
2023-07-13,203.0,32
2023-07-13,204.0,81
2023-07-13,211.4,85
2023-07-13,239.7,74
2023-07-13,245.0,94
2023-07-13,264.4,41
2023-07-13,286.2,82
2023-07-13,341.4,85
2023-07-14,119.5,71
2023-07-14,137.5,77
2023-07-14,161.5,90
2023-07-14,172.2,28
2023-07-14,188.1,82
2023-07-14,188.8,59
2023-07-14,191.0,72
2023-07-14,193.8,62
2023-07-14,199.0,83
2023-07-14,199.6,83
2023-07-14,199.7,94
2023-07-14,214.0,83
2023-07-14,221.9,81
2023-07-15,117.8,169
2023-07-15,150.3,80
2023-07-15,161.6,187
2023-07-15,189.6,79
2023-07-15,193.8,112
2023-07-15,205.0,58
2023-07-15,205.2,70
2023-07-15,209.3,58
2023-07-15,226.4,73
2023-07-15,242.7,91
2023-07-15,260.8,37
2023-07-16,103.3,183
2023-07-16,131.5,93
2023-07-16,157.8,89
2023-07-16,162.3,105
2023-07-16,169.0,87
2023-07-16,183.4,81
2023-07-16,209.3,30
2023-07-16,214.2,85
2023-07-16,214.3,84
2023-07-16,220.1,86
2023-07-16,282.5,89
2023-07-16,810.9,49
2023-07-17,138.7,24
2023-07-17,156.9,74
2023-07-17,183.6,72
2023-07-17,246.9,420
2023-07-17,810.9,32
2023-07-18,18.5,8
2023-07-18,22.4,2
2023-07-18,22.5,67
2023-07-18,26.3,3
2023-07-18,27.9,3
2023-07-18,28.7,3
2023-07-18,43.3,20
2023-07-18,46.4,3
2023-07-18,76.6,6
2023-07-19,34.6,4
2023-07-19,37.2,2
2023-07-19,41.1,3
2023-07-19,43.3,11
2023-07-19,44.1,3
2023-07-19,47.0,6
2023-07-19,66.2,14
2023-07-19,70.5,3
2023-07-19,75.5,2
2023-07-19,87.5,3
2023-07-19,87.8,55
2023-07-20,80.9,3
2023-07-20,87.4,3
2023-07-20,87.5,6
