基于python统计COD中异常值的数量和所占比例，并删除异常值
COD	datetime	date	hour
102.9	2023/8/25 23:29	2023/8/25	23:00:00
247.6	2023/8/25 22:12	2023/8/25	22:00:00
95.8	2023/8/25 21:49	2023/8/25	21:00:00
104	2023/8/25 20:10	2023/8/25	20:00:00
120.3	2023/8/25 18:21	2023/8/25	18:00:00
127.7	2023/8/24 4:10	2023/8/24	4:00:00
111.8	2023/8/24 2:10	2023/8/24	2:00:00
95.4	2023/8/24 0:10	2023/8/24	0:00:00
95.4	2023/8/23 23:25	2023/8/23	23:00:00
253.3	2023/8/23 22:12	2023/8/23	22:00:00
105.5	2023/8/23 21:49	2023/8/23	21:00:00
138.6	2023/8/23 20:10	2023/8/23	20:00:00
134.8	2023/8/23 18:24	2023/8/23	18:00:00
135.5	2023/8/23 16:31	2023/8/23	16:00:00
110.1	2023/8/23 14:41	2023/8/23	14:00:00
87.3	2023/8/23 12:27	2023/8/23	12:00:00
115.7	2023/8/23 10:12	2023/8/23	10:00:00

